ResourceID,Generating_Unit_Name/Description,Net_Dependable_Capacity_(MW),Unit_Type,Nameplate_Capacity_(MW)
LECEF1CGT3,LOS ESTEROS ENERGY FACILITY UNIT 3,49.9,COMBUSTION TURBINE,49.9
LECEF1CGT4,LOS ESTEROS ENERGY FACILITY UNIT 4,49.9,COMBUSTION TURBINE,49.9
LECEF1STG1,LOS ESTEROS ENERGY FACILITY STG,120,STEAM,120
LMEC1PL1X3,LOS MEDANOS ENERGY CENTER (AGGREGATE),561.29,COMBINED CYCLE,519.99
LMEC1CTG1,Los Medanos CT Unit 1,177,COMBUSTION TURBINE,169.9
LMEC1CTG2,Los Medanos CT Unit 2,177,COMBUSTION TURBINE,169.9
LMEC1STG,Los Medanos ST Unit 3,243,STEAM,180.19
LOWGAP7QFUNTS,LOW GAP QF AGGREGATION,2,HYDRO,2
CONTRL1LUNDY,LUNDY HYDRO PLANT (AGGREGATE),3,HYDRO,3
KRAMER1SEGS37,LUZ SOLAR PARTNERS 3-7 AGGREGATE,175,STEAM,150
KRAMER2SEGS89,LUZ SOLAR PARTNERS 8-9 AGGREGATE,184,STEAM,160
KRAMER2SEGS8,Luz Solar Partners Ltd. VIII,92,STEAM,80
KRAMER2SEGS9,Luz Solar Partners Ltd. IX,92,STEAM,80
LAKHDG6UNIT1,Lake Hodges Pump Station 1 - Unit 1,20,PUMPED STORAGE,20
LAKHDG6UNIT2,Lake Hodges Pumped Storage-Unit2,20.15,PUMPED STORAGE,20
UKIAH7LAKEMN,Lake Mendocino Hydro,3.5,HYDRO,3.5
LNCSTR6CREST,Lanacaster Aggregate Solar Resources,5.5,PHOTO VOLTAIC,5.5
LARKSP6UNIT1,Larkspur 1,46.1,COMBUSTION TURBINE,45
LARKSP6UNIT2,Larkspur 2,47.98,COMBUSTION TURBINE,45
HENRTA6SOLAR1,Lemoore 1,1.5,PHOTO VOLTAIC,1.5
SPILI2UNIT1,Lincoln Biomass,17.2,STEAM,19.2
LITLRK6SOLAR1,Little Rock C,5,PHOTO VOLTAIC,5
LITLRK6SOLAR4,Little Rock Pham Solar,3,PHOTO VOLTAIC,3
LODIEC2PL1X2,Lodi Energy Center,302.58,COMBINED CYCLE,284
LODIEC2CTG,Lodi Energy Center,220,COMBUSTION TURBINE,
LODIEC2STG,Lodi Energy Center,116.9,STEAM,
STIGCT2LODI,Lodi Steam Injected Gas Turbine,49.9,COMBUSTION TURBINE,51.2
VICTOR1LVSLR1,Lone Valley Solar Park 1,10,PHOTO VOLTAIC,10
VICTOR1LVSLR2,Lone Valley Solar Park 2,20,PHOTO VOLTAIC,20
HINSON6LBECH1,Long Beach - Unit 1,65,COMBUSTION TURBINE,70
HINSON6LBECH2,Long Beach - Unit 2,65,COMBUSTION TURBINE,70
HINSON6LBECH3,Long Beach - Unit 3,65,COMBUSTION TURBINE,70
HINSON6LBECH4,Long Beach - Unit 4,65,COMBUSTION TURBINE,70
TORTLA1SOLAR,Longboat Solar,20,PHOTO VOLTAIC,20
ELNIDS2DODPEV,Los Angeles Air Force Base,0.5,BATTERY,0.53
HATLOS6LSCRK,Lost Creek 1 & 2 Hydro Conversion,1.7,HYDRO,1.7
LHILLS6SOLAR1,Lost Hills Solar,20,PHOTO VOLTAIC,20.46
MALCHQ7UNIT1,MALACHA HYDRO L.P.,32.5,HYDRO,32.5
MALIN5BPADYN,MALIN_5_BPADYN,250,SYSTEM UNIT,250
MCCALL1QF,MCCALL AREA LUMPED QF UNITS,2.5,HYDRO,1.45
MKTRCK1UNIT1,MCKITTRICK LIMITED,47.49,COMBUSTION TURBINE,58.48
MENBIO6UNIT,MENDOTA BIOMASS POWER,25,STEAM,28.01
MESAP1QF,MESA AREA LUMPED QF UNITS,1,HYDRO,1
MESAS2QF,MESA SOUTH AREA LUMPED UNITS,2.9,,2.9
METCLF1QF,METCALF AREA LUMPED QF UNITS,1.25,HYDRO,0.8
METEC2PL1X3,METCALF ENERGY CENTER,593.16,COMBINED CYCLE,617
METEC7CTG1,METCALF ENERGY CENTER CTG UNIT 1,193,COMBUSTION TURBINE,193
METEC7CTG2,METCALF ENERGY CENTER CTG UNIT 2,193,COMBUSTION TURBINE,193
METEC7STG3,METCALF ENERGY CENTER STG UNIT 3,231,STEAM,231
ETIWND7MIDVLY,MID VALLEY LANDFILL PROJECT (AGGREGATE),2.1,RECIPROCATING ENGINE,2.5
MDFKRL2PROJCT,MIDDLE FORK-RALSTON PROJECT (AGGREGATE),218.39,HYDRO,220.7
MIDFRK7UNIT1,Middle Fork 1,65.7,HYDRO,65.7
MIDFRK7UNIT2,Middle Fork 2,69,HYDRO,69
RALSTN7UNIT1,Ralston PH,86,HYDRO,86
MIDSET1UNIT1,MIDSET COGENERATION,52.9,COMBUSTION TURBINE,45
LOWGAP1SUPHR,MILL & SULPHUR CREEK (NORTH COAST),0.99,HYDRO,1
SBERDO6MILLCK,MILL CREEK HYDRO PROJECT (AGGREGATE),3.93,HYDRO,3.61
CHINO7MILIKN,MILLIKEN LANDFILL PROJECT (AGGREGATE),1.9,RECIPROCATING ENGINE,2.5
MLPTAS7QFUNTS,MILPITAS QF AGGREGATION,2.3,STEAM,2.3
MRGT6MMAREF,MIRAMAR ENERGY FACILITY,48,PEAKER,46.7
MRGT7UNITS,MIRAMAR GT PLANT (AGGREGATE),36,COMBUSTION TURBINE,36
MRGT7MR1A,Miramar GT 1A,19.5,COMBUSTION TURBINE,18
MRGT7MR1B,Miramar GT 1B,19.5,COMBUSTION TURBINE,18
MSHGTS6MMARLF,MIRAMAR LANDFILL,5,RECIPROCATING ENGINE,6.5
MSSION2QF,MISSION AREA LUMPED UNITS,50,VARIOUS,19.03
MISSIX1QF,MISSIX AREA (SAB FRABCUSCI) LUMPED QF UNITS,1,,13
SAUGUS7LOPEZ,"MM LOPEZ ENERGY, LLC",6.1,INTERNAL COMBUSTION,6.1
RECTOR7TULARE,"MM TULARE ENERGY, LLC",1.6,RECIPROCATING ENGINE,1.63
WALNUT7WCOVCT,"MM WEST COAST COVINA, LLC (BKK I)",4.5,COMBUSTION TURBINE,4.9
WALNUT7WCOVST,"MM WEST COAST COVINA, LLC (BKK II)",6.5,STEAM,6.5
DAVIS7MNMETH,MM Yolo Power LLC,4,INTERNAL COMBUSTION,4.03
MOJAVE1SIPHON,MOJAVE SIPHON PH (AGGREGATE),12.58,HYDRO,34.5
MOJAVE1UNIT1,Mojave Siphon Unit 1,7,HYDRO,11.5
MOJAVE1UNIT2,Mojave Siphon Unit 2,7,HYDRO,11.5
MOJAVE1UNIT3,Mojave Siphon Unit 3,7,HYDRO,11.5
MONTPH7UNITS,MONTICELLO PH (Aggregate),12.5,HYDRO,12.5
MONTPH7UNIT1,MONTICELLO Unit 1,5.7,HYDRO,5.7
MONTPH7UNIT2,MONTICELLO Unit 2,5.7,HYDRO,5.7
MONTPH7UNIT3,MONTICELLO Unit 3,1.5,HYDRO,1.5
MOORPK6QF,MOORE PARK AREA LUMPED UNITS,34.8,,30.02
MOSSLD1QF,MOSS LANDING AREA (SANTA CRUZ) LUMPED QF UNITS,1,,1
SBERDO2PSP3,MOUNTAINVIEW POWER PLANT POWER BLOCK 3,525,COMBINED CYCLE,543
SBERDO7CT3A,"MOUNTAINVIEW POWER, POWER BLOCK 3, CT3A",160,COMBUSTION TURBINE,160
SBERDO7CT3B,"MOUNTAINVIEW POWER, POWER BLOCK 3, CT3B",160,COMBUSTION TURBINE,160
SBERDO7STG3,"MOUNTAINVIEW POWER, POWER BLOCK 3, STG3",202,STEAM,202
SBERDO2PSP4,MOUNTAINVIEW POWER PLANT POWER BLOCK 4,525,COMBINED CYCLE,543
SBERDO7CT4A,"MOUNTAINVIEW POWER, POWER BLOCK 4, CT4A",160,COMBUSTION TURBINE,160
SBERDO7CT4B,"MOUNTAINVIEW POWER, POWER BLOCK 4, CT4B",160,COMBUSTION TURBINE,160
SBERDO7STG4,"MOUNTAINVIEW POWER, POWER BLOCK 4, STG4",202,STEAM,202
MTNPOS1UNIT,MT. POSO COGENERATION CO.,46.64,STEAM,63.33
MIRLOM2CORONA,MWD Corona Hydroelectric Recovery Plant,2.85,HYDRO,2.85
OLINDA2COYCRK,MWD Coyote Creek Hydroelectric Recovery Plant,3.13,HYDRO,3.13
VALLEY5PERRIS,MWD Perris Hydroelectric Recovery Plant,7.94,HYDRO,7.94
VALLEY5REDMTN,MWD Red Mountain Hydroelectric Recovery Plant,5.9,HYDRO,5.9
CENTER2RHONDO,MWD Rio Hondo Hydroelectric Recovery Plant,1.91,HYDRO,1.91
MIRLOM2TEMESC,MWD Temescal Hydroelectric Recovery Plant,2.85,HYDRO,2.85
VILLPK2VALLYV,MWD Valley View Hydroelectric Recovery Plant,4.1,HYDRO,4.1
OAKC1EBMUD,MWWTP PGS 1 - ENGINES,6.9,INTERNAL COMBUSTION,6.9
OAKL1GTG1,MWWTP PGS 2 - Turbine,4.6,COMBUSTION TURBINE,4.6
STOREY7MDRCHW,Madera Canal Site 980,1.84,HYDRO,2.13
STOREY2MDRCH2,Madera Chowchilla 2,0.52,HYDRO,0.56
STOREY2MDRCH3,Madera Chowchilla 3,0.42,HYDRO,0.42
STOREY2MDRCH4,Madera Chowchilla 4,0.92,HYDRO,0.92
MALAGA1PL1X2,Malaga Power Aggregate,96,AGGREGATION,121
MALAGA7CTG1,Malaga Power Unit 1,48.5,COMBUSTION TURBINE,60.5
MALAGA7CTG2,Malaga Power Unit 2,48.5,COMBUSTION TURBINE,60.5
VERNON6MALBRG,Malburg Generating Station,134,COMBINED CYCLE,134
VERNON7CTG1,Malburg Generating Station CTG Unit 1,42,COMBUSTION TURBINE,42
VERNON7CTG2,Malburg Generating Station CTG Unit 2,42,COMBUSTION TURBINE,42
VERNON7STG3,Malburg Generating Station STG Unit 3,50,STEAM,50
CONTRL1CASAD1,Mammoth G1,10,STEAM,10
CONTRL1CASAD3,Mammoth G3,14,STEAM,15
BIGCRK7MAMRES,Mammoth Pool Reservoir FWG,1.25,HYDRO,0.94
MNDALY7UNIT1,Mandalay 1,215,STEAM,215
MNDALY7UNIT2,Mandalay 2,215.29,STEAM,215
MNDALY7UNIT3,Mandalay 3 GT,130,COMBUSTION TURBINE,130
MANZNA2WIND,Manzana Wind,189,WIND,189
MARCPW6SOLAR1,Maricopa West Solar PV,20,PHOTO VOLTAIC,20
KELSO2UNITS,Mariposa Energy Project,196,COMBUSTION TURBINE,195.9
TIDWTR2UNITS,Martinez Cogen Limited Partnership,114.8,COMBINED CYCLE,99.9
SHELRF1UNITS,Martinez Refining Company (Aggregate),100,COMBINED CYCLE,100
SHELRF7UNIT1,Martinez Refining Company Unit 1,20,STEAM,20
SHELRF7UNIT2,Martinez Refining Company Unit 2,40,COMBUSTION TURBINE,40
SHELRF7UNIT3,Martinez Refining Company Unit 3,40,COMBUSTION TURBINE,40
MCSWAN6UNITS,Mc SWAIN,10,HYDRO,10
BLKCRK2SOLAR1,McCoy Station,250,PHOTO VOLTAIC,250
MNDALY6MCGRTH,McGrath Beach Peaker,47.2,COMBUSTION TURBINE,47.2
TXMCKT6UNIT,McKittrick Cogen,11.2,COMBUSTION TURBINE,11.7
MERCFL6UNIT,Merced Falls,3.5,HYDRO,3.5
MERCED1SOLAR2,Merced Solar,1.5,PHOTO VOLTAIC,1.5
VALLEY5SOLAR1,Meridian,1.49,PHOTO VOLTAIC,1.49
LILIAC6SOLAR,Mesa Crest,3,PHOTO VOLTAIC,3
MSOLAR2SOLAR1,Mesquite Solar 1,165,PHOTO VOLTAIC,165
MSOLAR2SOLAR3,"Mesquite Solar 3, LLC",152,PHOTO VOLTAIC,152
PNCHPP1PL1X2,Midway Peaking LLC,119.91,COMBUSTION TURBINE,139.8
PNCHPP1CTG1,Midway Peaking Unit 1,60,COMBUSTION TURBINE,69.9
PNCHPP1CTG2,Midway Peaking Unit 2,60,COMBUSTION TURBINE,69.9
SUNSET2UNITS,Midway Sunset Cogeneration Company,248,COMBUSTION TURBINE,234
SUNSET2UNITA,MIDWAY-SUNSET COGEN CT UNIT A,78,COMBUSTION TURBINE,78
SUNSET2UNITB,MIDWAY-SUNSET COGEN CT UNIT B,78,COMBUSTION TURBINE,78
SUNSET2UNITC,MIDWAY-SUNSET COGEN CT UNIT C,78,COMBUSTION TURBINE,78
MIRLOM6PEAKER,Mira Loma Peaker,46,COMBUSTION TURBINE,49
MRGT6MEF2,Miramar Energy Facility II,47.9,COMBUSTION TURBINE,49.5
MERCED1SOLAR1,Mission Solar,1.5,PHOTO VOLTAIC,1.5
SANDLT2SUNITS,Mojave Solar,275,STEAM,311.1
SANDLT2STGA,SANDLT_2_STGA,137.5,STEAM,140
SANDLT2STGB,SANDLT_2_STGB,137.5,STEAM,140
MOJAVW2SOLAR,Mojave West,20,PHOTO VOLTAIC,20
CSTRVL7PL1X2,Monterey Regional Waste Management District,4.53,INTERNAL COMBUSTION,5.07
BRDSLD2MTZUM2,Montezuma II,78.2,WIND,78.2
MRLSDS6SOLAR1,Morelos Solar,15,PHOTO VOLTAIC,15
OASIS6SOLAR1,Morgan Lancaster I,1.5,PHOTO VOLTAIC,1.5
MOSSLD7UNIT6,Moss Landing 6,754,STEAM,702
MOSSLD7UNIT7,Moss Landing 7,755,STEAM,702
MOSSLD2PSP1,Moss Landing CC Plant 1 (Aggregate),510,COMBINED CYCLE,541
MOSSLD2PSP1G1,"Moss Landing CC Plant 1, Unit 1",176,COMBUSTION TURBINE,170
MOSSLD2PSP1G2,"Moss Landing CC Plant 1, Unit 2",176,COMBUSTION TURBINE,170
MOSSLD2PSP1G3,"Moss Landing CC Plant 1, Unit 3",198,STEAM,190
MOSSLD2PSP2,Moss Landing CC Plant 2 (Aggregate),510,COMBINED CYCLE,541
MOSSLD2PSP2G1,"Moss Landing CC Plant 2, Unit 1",176,COMBUSTION TURBINE,170
MOSSLD2PSP2G2,"Moss Landing CC Plant 2, Unit 2",176,COMBUSTION TURBINE,170
MOSSLD2PSP2G3,"Moss Landing CC Plant 2, Unit 3",198,STEAM,190
MTWIND1UNIT1,Mountain View I,44.4,WIND,44.4
MTWIND1UNIT2,Mountain View II,22.2,WIND,22.2
MTWIND1UNIT3,Mountain View III,22.44,WIND,22.44
BLAST1WIND,Mountain View IV Wind,49,WIND,49
MSTANG2SOLAR,Mustang,30,PHOTO VOLTAIC,30
MSTANG2SOLAR3,Mustang 3,40,PHOTO VOLTAIC,40
MSTANG2SOLAR4,Mustang 4,30,PHOTO VOLTAIC,30
MSTANG2SOLAR4,Mustang 4,30,PHOTO VOLTAIC,30
NAROW22UNIT,NARROWS PH 2 UNIT,55,HYDRO,55
BOWMN6UNIT,NEVADA POWER AUTHORITY (BOWMAN),6.25,HYDRO,6.25
NEWARK1QF,NEWARK AREA LUMPED QF UNITS,1.1,WIND,1.1
VESTAL2SOLAR1,NICOLIS,20,PHOTO VOLTAIC,20
NGILAA5SDGDYN,NORTH GILA INTERCHANGE SCHEDULE (YUMA COGENERATION ASSOCIATION),57,COMBUSTION TURBINE,56.5
NIMTG6NIQF,NORTH ISLAND COGENERATION,42.7,COMBUSTION TURBINE,34.5
NIMTG6NICOGN,NORTH ISLAND STEAM TURBINE,4.05,STEAM,4.05
BREGGO6SOLAR,NRG Borrego Solar One,26,PHOTO VOLTAIC,26
PTLOMA6NTCQF,NTC/MCRD COGENERATION,22.3,COMBUSTION TURBINE,22.3
NAROW12UNIT,Narrows PH 1 Unit,12,HYDRO,12
CHINO2SASOLR,Nautilus Solar Energy,1.5,PHOTO VOLTAIC,1.5
ETIWND2UNIT1,"New-Indy Ontario, LLC",33.6,COMBUSTION TURBINE,36.6
SNCLRA2UNIT1,New-Indy Oxnard LLC,27.8,COMBUSTION TURBINE,27.8
NWCSTL7UNIT1,Newcastle PH,12,HYDRO,12
TWISSL6SOLAR,"Nickel 1 (""NLH1"")",1.5,PHOTO VOLTAIC,1.5
BUCKWD1NPALM1,North Palm Springs 1,2.4,PHOTO VOLTAIC,2.5
GARNET1SOLAR,North Palm Springs 4A,4,PHOTO VOLTAIC,4.12
JAWBNE2NSRWND,North Sky River Wind Project,160,WIND,162
MNDOTA1SOLAR1,North Star Solar 1,60,PHOTO VOLTAIC,60
CHINO6CIMGEN,O.L.S. ENERGY COMPANY- CHINO-MENS INST.,31.6,COMBUSTION TURBINE,27.6
BUCKCK7OAKFLT,OAK FLAT PH,1.3,HYDRO,1.3
VINCNT2WESTWD,OASIS POWER PLANT,60,WIND,60
ULTPCH1UNIT1,"OGDEN POWER PACIFIC, INC. (CHINESE STATION)",22,STEAM,22
OILFLD7QFUNTS,OIL FIELDS QF AGGREGATION,3.8,HYDRO,3.8
OILDAL1UNIT1,OILDALE ENERGY,40,COMBUSTION TURBINE,47.5
OLINDA2QF,OLINDA AREA LUMPED UNITS,13.3,HYDRO,13.3
OLSEN2UNIT,OLSEN POWER PARTNERS,5.8,HYDRO,5.8
ONLLPP6UNITS,ONEILL P-G PLANT (AGGREGATE),14,PUMPED STORAGE,14.4
ONLLPP6UNIT1,ONeill Pump-Generator Plant Unit 1,2.1,PUMPED STORAGE,2.4
ONLLPP6UNIT2,ONeill Pump-Generator Plant Unit 2,2.1,PUMPED STORAGE,2.4
ONLLPP6UNIT3,ONeill Pump-Generator Plant Unit 3,2.1,PUMPED STORAGE,2.4
ONLLPP6UNIT4,ONeill Pump-Generator Plant Unit 4,2.1,PUMPED STORAGE,2.4
ONLLPP6UNIT5,ONeill Pump-Generator Plant Unit 5,2.1,PUMPED STORAGE,2.4
ONLLPP6UNIT6,ONeill Pump-Generator Plant Unit 6,2.1,PUMPED STORAGE,2.4
PADUA2ONTARO,ONTARIO/SIERRA HYDRO PROJECT (AGGREGATE),1.92,HYDRO,1.97
OROVIL6UNIT,OROVILLE COGEN,7.5,COMBUSTION TURBINE,7.5
OTAY6UNITB1,OTAY LANDFILL UNITS AGGREGATE,3,RECIPROCATING ENGINE,3
OAKC7UNIT1,Oakland GT #1,55,COMBUSTION TURBINE,74.5
OAKC7UNIT2,Oakland GT #2,55,COMBUSTION TURBINE,74.5
OAKC7UNIT3,Oakland GT #3,55,COMBUSTION TURBINE,74.5
COCOSB6SOLAR,Oakley Solar Project,1.5,PHOTO VOLTAIC,1.5
OASIS6SOLAR2,Oasis Solar,20,PHOTO VOLTAIC,27.8
OCTILO5WIND,Ocotillo Wind Energy Facility,265,WIND,265.4
OLDRV16SOLAR,Old River One,20,PHOTO VOLTAIC,20
OLINDA7LNDFIL,Olinda Landfill,5.6,RECIPROCATING ENGINE,5.63
MIRLOM2ONTARO,Ontario RT Solar,5.5,PHOTO VOLTAIC,5.5
OGROVE6PL1X2,Orange Grove Energy Center,96,COMBUSTION TURBINE,100
OGROVE6CTG1,Orange Grove Energy CTG1,48,COMBUSTION TURBINE,50
OGROVE6CTG2,Orange Grove Energy CTG2,48,COMBUSTION TURBINE,50
ARVINN6ORION1,Orion 1 Solar,12,PHOTO VOLTAIC,12
ARVINN6ORION2,Orion 2 Solar,8,PHOTO VOLTAIC,8
ORMOND7UNIT1,Ormond Beach Unit 1,741.27,STEAM,750
ORMOND7UNIT2,Ormond Beach Unit 2,775,STEAM,750
OTAY7UNITC1,Otay 3 Landfill Generation Facility,3.3,RECIPROCATING ENGINE,3.75
OTAY6LNDFL5,Otay 5,1.5,RECIPROCATING ENGINE,1.5
OTAY6LNDFL6,Otay 6,1.5,RECIPROCATING ENGINE,1.5
OTMESA2PL1X3,Otay Mesa Energy Center,603.68,COMBINED CYCLE,669
OXMTN6LNDFIL,Ox Mountain Landfill,10.62,RECIPROCATING ENGINE,11.4
OXBOW6DRUM,Oxbow PH,6,HYDRO,6
PACLUM6UNIT,PACIFIC LUMBER CO.,28.8,STEAM,26.25
PWEST1UNIT,PACIFIC WEST I,2.1,WIND,2.1
PADUA6QF,PADUA AREA LUMPED UNITS,30.1,HYDRO,29
PALOMR2PL1X3,PALOMAR ENERGY CENTER,575,COMBINED CYCLE,595
PALOMR7CTG1,PALOMAR ENERGY CENTER CTG UNIT 1,180.6,COMBUSTION TURBINE,180.5
PALOMR7CTG2,PALOMAR ENERGY CENTER CTG UNIT 2,180.6,COMBUSTION TURBINE,180.5
PALOMR7STG3,PALOMAR ENERGY CENTER STG UNIT 3,234.5,STEAM,233.9
LEBECS2UNITS,PASTORIA ENERGY FACILITY,799.47,COMBINED CYCLE,800
LEBECS7CTG1,PASTORIA ENERGY FACILITY CTG UNIT 1,198.9,COMBUSTION TURBINE,167
LEBECS7CTG2,PASTORIA ENERGY FACILITY CTG UNIT 2,198.9,COMBUSTION TURBINE,167
LEBECS7CTG4,PASTORIA ENERGY FACILITY CTG UNIT 4,198.9,COMBUSTION TURBINE,167
LEBECS7STG3,PASTORIA ENERGY FACILITY STG UNIT 3,184,STEAM,187
LEBECS7STG5,PASTORIA ENERGY FACILITY STG UNIT 5,92,STEAM,92
PSWEET7QFUNTS,PAUL SWEET QF AGGREGATION,1,AGGREGATION,1
GRZZLY1BERKLY,"PE - BERKELEY, INC.",32.5,COMBUSTION TURBINE,32.5
KINGCO1KINGBR,"PE - KES KINGSBURG,LLC",34.5,COMBUSTION TURBINE,40
PHOENX1UNIT,PHOENIX PH,2,HYDRO,2
PINFLT7UNITS,PINE FLAT PH (AGGREGATE),210,HYDRO,173.7
PINFLT7UNIT1,Pine Flat Unit 1,63.3,HYDRO,57.9
PINFLT7UNIT2,Pine Flat Unit 2,63.3,HYDRO,57.9
PINFLT7UNIT3,Pine Flat Unit 3,63.3,HYDRO,57.9
PIT37PL1X3,PIT PH 3 (AGGREGATE),70.6,HYDRO,70.6
PIT37UNIT1,Pit PH 3 Unit 1,24,HYDRO,24
PIT37UNIT2,Pit PH 3 Unit 2,26,HYDRO,26
PIT37UNIT3,Pit PH 3 Unit 3,25,HYDRO,25
PIT47PL1X2,PIT PH 4 (AGGREGATE),95,HYDRO,95
PIT47UNIT1,Pit PH 4 Unit 1,55,HYDRO,55
PIT47UNIT2,Pit PH 4 Unit 2,47,HYDRO,47
PIT57PL1X2,PIT PH 5 UNITS 1 & 2 (AGGREGATE),82,HYDRO,82
PIT57UNIT1,Pit PH 5 Unit 1,41,HYDRO,41
PIT57UNIT2,Pit PH 5 Unit 2,41,HYDRO,41
PIT57PL3X4,PIT PH 5 UNITS 3 & 4 (AGGREGATE),82,HYDRO,82
PIT57UNIT3,Pit PH 5 Unit 3,41,HYDRO,41
PIT57UNIT4,Pit PH 5 Unit 4,41,HYDRO,41
PIT57QFUNTS,PIT5 AREA LUMPED UNITS,3.75,HYDRO,3.75
CBRLLO6PLSTP1,POINT LOMA WASTEWATER TREATMENT PLANT,4.83,RECIPROCATING ENGINE,7.12
POTTER6UNITS,POTTER VALLEY PH (AGGREGATE),10.1,HYDRO,9.8
CPSTNO7PRMADS,PRIMA DESHECHA LANDFILL,6.1,RECIPROCATING ENGINE,6.1
SNCLRA6PROCGN,PROCTER & GAMBLE PAPER PROD. (OXNARD II),49.5,COMBUSTION TURBINE,46.1
ROSMDW2WIND1,Pacific Wind - Phase 1,140,WIND,140
VENWD1WIND3,Painted Hills Wind Park,19.04,WIND,19.05
LITLRK6SOLAR2,Palmdale 18,2,PHOTO VOLTAIC,2
PMDLET6SOLAR1,Palmdale East,10,PHOTO VOLTAIC,10
PNOCHE1UNITA1,Panoche - CalPeak,52.01,COMBUSTION TURBINE,49
PNCHEG2PL1X4,Panoche Energy Center,401,COMBUSTION TURBINE,418.6
PNCHEG2CTG1,PANOCHE ENERGY CENTER (CTG1),100,COMBUSTION TURBINE,104.65
PNCHEG2CTG2,PANOCHE ENERGY CENTER (CTG2),100,COMBUSTION TURBINE,104.65
PNCHEG2CTG3,PANOCHE ENERGY CENTER (CTG3),100,COMBUSTION TURBINE,104.65
PNCHEG2CTG4,PANOCHE ENERGY CENTER (CTG4),100,COMBUSTION TURBINE,104.65
PARDEB6UNITS,Pardee Power House,30,HYDRO,27.8
PARDEB2UNIT1,Pardee Unit 1,10,HYDRO,9.38
PARDEB2UNIT2,Pardee Unit 2,10,HYDRO,9.38
PARDEB2UNIT3,Pardee Unit 3,10,HYDRO,9.05
CRESSY1PARKER,Parker Power House,2.83,HYDRO,2.83
UNOCAL1UNITS,Phillips 66 - Rodeo Plant,57.3,COMBUSTION TURBINE,49.85
GARNET2WIND1,Phoenix,11.2,WIND,11.78
CENTER2SOLAR1,Pico Rivera,0.9,PHOTO VOLTAIC,0.9
PIOPIC2CTG1,Pio Pico Unit 1,106,COMBUSTION TURBINE,106
PIOPIC2CTG2,Pio Pico Unit 2,106,COMBUSTION TURBINE,106
PIOPIC2CTG3,Pio Pico Unit 3,106,COMBUSTION TURBINE,106
PIT17UNIT1,Pit PH 1 Unit 1,32,HYDRO,32
PIT17UNIT2,Pit PH 1 Unit 2,32,HYDRO,32
PIT67UNIT1,Pit PH 6 Unit 1,39,HYDRO,39
PIT67UNIT2,Pit PH 6 Unit 2,40,HYDRO,40
PIT77UNIT1,Pit PH 7 Unit 1,55.7,HYDRO,55.7
PIT77UNIT2,Pit PH 7 Unit 2,54.6,HYDRO,54.6
PITTSP7UNIT5,Pittsburg Unit 5,312,STEAM,320
PITTSP7UNIT6,Pittsburg Unit 6,317,STEAM,325
PITTSP7UNIT7,Pittsburg Unit 7,530,STEAM,712
POEPH7UNIT1,Poe PH Unit 1,69,HYDRO,68
POEPH7UNIT2,Poe PH Unit 2,68.5,HYDRO,68.5
CONTRL1POOLE,Poole Unit 1,10.9,HYDRO,10.9
PEABDY2LNDFL1,Potrero Hills Energy Producers,8,RECIPROCATING ENGINE,8
WALNUT6HILLGEN,Puente Hills,53.22,STEAM,50
RHONDO6PUENTE,Puente Hills Phase 2,4,RECIPROCATING ENGINE,35.5
PMPJCK1SOLAR1,Pumpjack Solar 1,19.48,PHOTO VOLTAIC,20
PUTHCR1SOLAR1,Putah Creek Solar Farm,1.98,PHOTO VOLTAIC,2
SPQUIN6SRPCQU,Quincy Biomass,22,STEAM,27.5
SLST132SOLAR1,Quinto Solar PV Project,107.6,PHOTO VOLTAIC,107.6
KANSAS6SOLAR,RE Kansas South,20,PHOTO VOLTAIC,20
RECTOR2QF,RECTOR AREA LUMPED UNITS,19.5,HYDRO,19.53
REDBLF6UNIT,RED BLUFF PEAKER PLANT,44,RECIPROCATING ENGINE,44
STAUFF1UNIT,RHODIA INC. (RHONE-POULENC),4.6,COMBUSTION TURBINE,4.6
RHONDO2QF,RHONDO AREA LUMPED UNITS,5.1,,5.12
ULTPFR1UNIT1,RIO BRAVO FRESNO (aka ULTRAPOWER),30.5,STEAM,30.5
VESTAL6ULTRGN,RIO BRAVO JASMIN,38,STEAM,37
ULTRCK2UNIT,RIO BRAVO ROCKLIN,28.8,STEAM,28.8
RIOOSO1QF,RIO OSO AREA LUMPED QF UNITS,1.7,AGGREGATION,2.5
RVRVEW1UNITA1,RIVERVIEW ENERGY CENTER,48.7,COMBUSTION TURBINE,49.9
PLACVL1RCKCRE,ROCK CREEK L.P.,5,HYDRO,5
CONTRL1RUSHCK,RUSH CREEK PLANT (AGGREGATE),11.94,HYDRO,11.5
CRELMN6RAMON1,Ramona 1,2,PHOTO VOLTAIC,2
CRELMN6RAMON2,Ramona 2,5,PHOTO VOLTAIC,5
CCRITA7RPPCHF,Rancho Penasquitos Hydro Facility,5.25,HYDRO,4.65
LAMONT1SOLAR5,Redcrest Solar Farm,16.66,PHOTO VOLTAIC,20.86
REDOND7UNIT5,Redondo Unit 5,178.87,STEAM,175
REDOND7UNIT6,Redondo Unit 6,175,STEAM,175
REDOND7UNIT7,Redondo Unit 7,505.96,STEAM,480
REDOND7UNIT8,Redondo Unit 8,495.9,STEAM,480
LAMONT1SOLAR1,Regulus Solar,60,PHOTO VOLTAIC,60
