PLANT,unitid,fipscode,state,facilityname,CO2rate,NOXrate,SO2rate
57483,"GT-3",1,"CA","Mariposa Energy Project",.929086,.1104602,.0054153
57483,"GT-4",1,"CA","Mariposa Energy Project",.9615006,.1222394,.0055813
57515,"GT1",37,"CA","Walnut Creek Energy Park",.8459119,.0912652,.004271
57515,"GT2",37,"CA","Walnut Creek Energy Park",.8435471,.0905785,.0042584
57515,"GT3",37,"CA","Walnut Creek Energy Park",.8474565,.0876323,.0042788
57515,"GT4",37,"CA","Walnut Creek Energy Park",.8625625,.0893998,.0043543
57515,"GT5",37,"CA","Walnut Creek Energy Park",.8818921,.0840509,.0044524
57555,"CTG1",73,"CA","Pio Pico Energy Center LLC",.8133714,.0945149,.0041065
57555,"CTG2",73,"CA","Pio Pico Energy Center LLC",.8101569,.0935289,.0040894
57555,"CTG3",73,"CA","Pio Pico Energy Center LLC",.8003349,.0903218,.0040406
57564,"8",19,"CA","Algonquin Power Sanger",1.189515,.1805432,.0060061
57978,"CT1",77,"CA","Lodi Energy Center",1.249323,.0712312,.006307
58122,"GEN1",107,"CA","Delano Energy Center, LLC",1.233621,.1005358,.0062295
