ORISPL,PLNOXRTA,PLSO2RTA,PLCO2RTA,PLN2ORTA
57441,,,,
57540,,,,
57541,,,,
57543,,,,
57900,,,,
58388,,,,
58389,,,,
57933,,,,
60591,,,,
60869,,,,
62732,,,,
60185,,,,
510,0.003,0.001,237.303,
55752,0.000,0.444,0.000,0.000
55753,0.000,0.383,0.000,0.000
55880,0.000,0.604,0.001,0.000
57793,,,,0.001
58578,,,,
280,,,,
57770,,,,0.002
50752,1.804,0.019,678.564,0.001
50751,1.690,0.017,639.030,0.001
50837,2.933,3.105,"1,720.202",0.147
57304,,,,
10471,,,,
281,,,,
282,,,,
283,,,,
59658,0.597,0.135,1.041,0.050
54554,,,,
57916,0.915,0.018,650.923,0.001
450,,,,
