,name,typ,zone,netcap,seg1,seg2,seg3,mincap,ramp,minu,mind,var_om,no_load,st_cost,Name_Description,eGRID_Name,DOE
248,MRGT_6_MMAREF,ngct,SDGE,48,7.9,7.96,8.03,17,48,1,1,3.17,20.2739726,3360,MIRAMAR ENERGY FACILITY,Miramar Energy Facility,56232
247,MRGT_6_MEF2,ngct,SDGE,47.9,7.9,7.96,8.03,17,48,1,1,3.17,20.2739726,3353,Miramar Energy Facility II,Miramar,305
115,MOSSLD_7_UNIT6,ngst,PGE_valley,754,9.81,10.51,11.22,302,754,6,6,2,156.5644172,52780,Moss Landing 6,Moss Landing,260
116,MOSSLD_7_UNIT7,ngst,PGE_valley,755,9.81,10.51,11.22,302,755,6,6,2,156.6871166,52850,Moss Landing 7,Moss Landing,260
129,SBERDO_2_PSP3,ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,MOUNTAINVIEW POWER PLANT POWER BLOCK 3,Mountainview Generating Station,358
130,SBERDO_2_PSP4,ngcc,SCE,525,5.83,6.09,6.35,210,525,2,2,2,241.3284133,36750,MOUNTAINVIEW POWER PLANT POWER BLOCK 4,Mountainview Generating Station,358
233,NIMTG_6_NIQF,ngct,SDGE,42.7,7.64,7.71,7.77,212,43,1,1,3.17,18.08219178,2989,NORTH ISLAND COGENERATION,North Island,10812
157,CHINO_6_CIMGEN,ngct,SCE,31.6,6.93,7,7.06,12,32,1,1,3.17,13.42465753,2212,O.L.S. ENERGY COMPANY- CHINO-MENS INST.,OLS Energy Chino,50850
91,OILDAL_1_UNIT1,ngct,PGE_valley,40,7.96,8.02,8.09,14,40,1,1,3.17,16.98630137,2800,OILDALE ENERGY,Oroville Cogeneration LP,54477
245,OGROVE_6_PL1X2,ngct,SDGE,96,11.9,11.97,12.03,18,96,1,1,3.17,40.54794521,6720,Orange Grove Energy Center,Orange Grove Project,56914
205,ORMOND_7_UNIT1,ngst,SCE,741.27,11.49,12.19,12.9,297,742,6,6,2,153.8650307,51888.9,Ormond Beach Unit 1,Ormond Beach Generating Station,350
206,ORMOND_7_UNIT2,ngst,SCE,775,11.49,12.19,12.9,310,775,6,6,2,160.8588957,54250,Ormond Beach Unit 2,Ormond Beach Generating Station,350
228,OTMESA_2_PL1X3,ngcc,SDGE,603.68,9.62,9.88,10.14,242,604,1,1,2,277.4907749,42257.6,Otay Mesa Energy Center,"Otay Mesa Energy Center, LLC",55345
227,PALOMR_2_PL1X3,ngcc,SDGE,575,9.7,9.96,10.22,230,575,2,2,2,264.2066421,40250,PALOMAR ENERGY CENTER,Palomar Energy Center,55985
92,PNOCHE_1_UNITA1,ngct,PGE_valley,52.01,7.64,7.71,7.77,19,53,1,1,3.17,21.91780822,3640.7,Panoche - CalPeak,CalPeak Power - Panoche,55508
93,PNCHEG_2_PL1X4,ngct,PGE_valley,401,7.64,7.71,7.77,141,401,1,1,3.17,169.0410959,28070,Panoche Energy Center,Panoche Energy Center,56803
127,LEBECS_2_UNITS,ngcc,SCE,799.47,9.62,9.88,10.14,320,800,3,3,2,367.5276753,55962.9,PASTORIA ENERGY FACILITY,Pastoria Energy Facility,55656
