ISO Index,Classification,QF,Aggregate,Resource_ID,Name_Description,NetCap,PTO Area,Owner or QF ID,Fuel Type,Unit Type,ISO Classification,Zone,Demand Zone,Operating Date,River System,Nameplate Capacity,Status - A=Active; C - Contracted outside CAISO,Capacity Factor,Average Heat Rate,Segment1,Segment2,Segment3,MinCap,RampRate,MinUP,MinDOWN,VariableO&M,NoLOAD (x Fuel Price),StartCost
9100,Participating Unit,No,No,ELCAJN_7_GT1,El Cajon,16.36,SDGE,"Cabrillo Power II, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1968,,15,A,,19.06141249,17.15052442,17.21554918,17.28057395,9,17,1,1,3.17,25.1763712,1145.2
9800,Participating Unit,No,No,ENCINA_7_GT1,Encina,14.5,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1968,,18,A,,18.18345324,16.27256517,16.33758993,16.4026147,15,15,1,1,3.17,22.31402093,1015
21600,Participating Unit,No,Yes,MRGT_7_UNITS,Miramar,36,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1972,,36,A,,17.22305953,15.31217147,15.37719623,15.44222099,18,36,1,1,3.17,55.40032782,2520
18100,Participating Unit,No,Yes,KEARNY_7_KY3,Kearny,61,SDGE,DYNEGY,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,1/1/1969,,61,A,,16.14288111,14.23199305,14.29701781,14.36204257,13,61,1,1,3.17,93.8727777,4270
3400,Participating Unit,No,No,BORDER_6_UNITA1,BORDER,51.25,SDGE,CalPeak Power LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,10/26/2001,,49.96,A,,13.8123968,11.90150874,11.9665335,12.03155826,13,52,1,1,3.17,78.86852225,3587.5
9000,Participating Unit,No,No,ELCAJN_6_UNITA1,Cuyamaca Peak Energy Plant,45.42,SDGE,San Diego Gas & Electric,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,5/29/2002,,47.3,A,,13.8123968,11.90150874,11.9665335,12.03155826,6,46,1,1,3.17,69.89674694,3179.4
10400,Participating Unit,No,No,ESCNDO_6_UNITB1,Enterprise,48.04,SDGE,CalPeak Power LLC,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,10/23/2001,,46.9,A,,13.8123968,11.90150874,11.9665335,12.03155826,6,49,1,1,3.17,73.92865968,3362.8
19300,Participating Unit,No,No,LARKSP_6_UNIT 1,Larkspur 1,46.1,SDGE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,9/13/2001,,45,A,,13.8123968,11.90150874,11.9665335,12.03155826,13,47,1,1,3.17,70.94319757,3227
19400,Participating Unit,No,No,LARKSP_6_UNIT 2,Larkspur 2,47.98,SDGE,Wildflower Energy,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,9/13/2001,,45,A,,13.8123968,11.90150874,11.9665335,12.03155826,22,48,1,1,3.17,73.83632581,3358.6
99200,Participating Unit,No,Yes,OGROVE_6_PL1X2,Orange Grove Energy Center,96,SDGE,"Orange Grove Energy, L.P.",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/17/2010,,100,A,,13.8123968,11.90150874,11.9665335,12.03155826,18,96,1,1,3.17,147.7342075,6720
99100,Participating Unit,No,No,ELCAJN_6_LM6K,El Cajon Energy Center,48.1,SDGE,"El Cajon Energy, LLC",NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,6/16/2010,,49.9,A,,10.04497407,8.134086008,8.199110771,8.264135533,16,49,1,1,3.17,74.02099356,3367
97700,Participating Unit,No,No,MRGT_6_MEF2,Miramar,47.9,SDGE,SDG&E,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,8/7/2009,,49.5,A,,9.809685334,7.898797269,7.963822031,8.028846793,17,48,1,1,3.17,73.71321397,3353
92100,Participating Unit,No,No,MRGT_6_MMAREF,Miramar,48,SDGE,San Diego Gas & Electric,NATURAL GAS,COMBUSTION TURBINE,PEAKER,SP15,SDG1,7/27/2005,,46.7,A,,9.809685334,7.898797269,7.963822031,8.028846793,17,48,1,1,3.17,73.86710377,3360
137200,Participating Unit,No,No,PIOPIC_2_CTG1,Pio Pico,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659,7.871618525,7.936643287,8.001668049,17,106,1,1,3.17,163.1231875,7420
137300,Participating Unit,No,No,PIOPIC_2_CTG2,Pio Pico,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659,7.871618525,7.936643287,8.001668049,34,106,1,1,3.17,163.1231875,7420
137400,Participating Unit,No,No,PIOPIC_2_CTG3,Pio Pico,106,SDGE,Pio Pico Energy Center,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,11/3/2016,,106,A,,9.78250659,7.871618525,7.936643287,8.001668049,17,106,1,1,3.17,163.1231875,7420
135400,Participating Unit,No,No,VESTAL_2_UNIT1,CALGREN-PIXLEY,11.2,SDGE,GFP Ethanol LLC,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SCE1,6/30/2016,,5,A,,9.54176644,7.630878375,7.695903137,7.760927899,17,12,1,1,3.17,17.23565755,784
84000,Participating Unit,No,No,LAROA1_2_UNITA1,CICLO COMBINADO MEXICALI,180,SDGE,Energia Azteca X,NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,7/20/2003,,181.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,17,180,1,1,3.17,277.0016391,12600
94900,Participating Unit,No,Yes,ESCNDO_6_PL1X2,Escondido Energy Center,48.71,SDGE,"Escondido Energy Center, LLC",NATURAL GAS,COMBUSTION TURBINE,THERMAL,SP15,SDG1,6/7/2006,,49.5,A,,9.54176644,7.630878375,7.695903137,7.760927899,38,49,1,1,3.17,74.95972134,3409.7
9900,Participating Unit,No,No,ENCINA_7_EA1,Encina,106,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1954,,106.25,A,,13.74349525,11.93137648,12.63633254,13.34128861,43,106,6,6,2,179.3308163,7420
10000,Participating Unit,No,No,ENCINA_7_EA2,Encina,104,SDGE,"Cabrillo Power I, LLC",NATURAL GAS,STEAM,THERMAL,SP15,SDG1,1/1/1956,,110.25,A,,13.74349525,11.93137648,12.63633254,13.34128861,42,104,6,6,2,175.947216,7280
