,eGRID2016 Generator file sequence number,Plant state abbreviation,Plant name,DOE/EIA ORIS plant or facility code,Generator ID,Number of associated boilers,Generator status,Generator prime mover type,Generator primary fuel,Generator nameplate capacity (MW),Generator capacity factor,Generator annual net generation (MWh),Generator ozone season net generation (MWh),Generation data source,Generator year on-line,Generator planned or actual retirement year,area,utility,latitude,longitude,state,NGCC,NGCT,Coal,Oil,Wind,SolarPV,SolarCSP,Hydro,Nuclear,Other
104,8104,ID,Hazelton B Hydro,54558,U1,0,OP,HY,WAT,3.8,0.335,11135.5,5426.5,Distributed from 923 Generation And Fuel,1993,,IPCO,Idaho Power Co,42.6051,-114.093,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
105,8105,ID,Hazelton B Hydro,54558,U2,0,OP,HY,WAT,3.8,0.335,11135.5,5426.5,Distributed from 923 Generation And Fuel,1993,,IPCO,Idaho Power Co,42.6051,-114.093,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0
106,8106,ID,Head of U Canal Hydro Project,61217,HY1,0,OP,HY,WAT,1.2,0.417,4388,2138,Distributed from 923 Generation And Fuel,2015,,IPCO,Idaho Power Co,42.7628,-114.3958,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0
107,8107,ID,Hidden Hollow Energy,57861,UNT1,0,OP,IC,LFG,1.6,0.787,11025,4629,Distributed from 923 Generation And Fuel,2007,,IPCO,Idaho Power Co,43.697222,-116.271389,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
108,8108,ID,Hidden Hollow Energy,57861,UNT2,0,OP,IC,LFG,1.6,0.787,11025,4629,Distributed from 923 Generation And Fuel,2007,,IPCO,Idaho Power Co,43.697222,-116.271389,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
109,8109,ID,High Mesa,58019,1,0,OP,WT,WND,40,0.283,99294,29641,Distributed from 923 Generation And Fuel,2012,,IPCO,Idaho Power Co,42.88,-115.036667,Idaho,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
110,8110,ID,"Horse Butte Wind I, LLC",57890,1,0,OP,WT,WND,57.6,0.351,177234,59770,Distributed from 923 Generation And Fuel,2012,,BPAT,Bonneville Power Administration,43.386389,-111.726389,Idaho,0.0,0.0,0.0,0.0,57.6,0.0,0.0,0.0,0.0,0.0
111,8111,ID,Horseshoe Bend Hydroelectric Co,54524,GEN1,0,OP,HY,WAT,4.7,0.565,23251,11330,Distributed from 923 Generation And Fuel,1995,,IPCO,Idaho Power Co,43.904085,-116.244193,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0
112,8112,ID,Horseshoe Bend Hydroelectric Co,54524,GEN2,0,OP,HY,WAT,4.7,0.565,23251,11330,Distributed from 923 Generation And Fuel,1995,,IPCO,Idaho Power Co,43.904085,-116.244193,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0
113,8113,ID,ID Solar,60445,INV1,0,OP,PV,SUN,40,0.075,26219,14257,Distributed from 923 Generation And Fuel,2016,,IPCO,Idaho Power Co,43.444,-116.333,Idaho,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
114,8125,ID,Island Park,4204,HY1,0,OP,HY,WAT,2.4,0.115,2424,1181,Distributed from 923 Generation And Fuel,1994,,BPAT,Fall River Rural Elec Coop Inc,44.418293,-111.395971,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0
115,8126,ID,Island Park,4204,HY2,0,OP,HY,WAT,2.4,0.115,2424,1181,Distributed from 923 Generation And Fuel,1994,,BPAT,Fall River Rural Elec Coop Inc,44.418293,-111.395971,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0
116,8131,ID,K W Company,55007,LS1,0,OP,HY,WAT,0.1,0.307,268.571,130.857,Distributed from 923 Generation And Fuel,1985,,IPCO,Idaho Power Co,42.59483,-114.435295,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
117,8132,ID,K W Company,55007,LS2,0,OP,HY,WAT,0.1,0.307,268.571,130.857,Distributed from 923 Generation And Fuel,1985,,IPCO,Idaho Power Co,42.59483,-114.435295,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
118,8133,ID,K W Company,55007,LS3,0,OP,HY,WAT,0.1,0.307,268.571,130.857,Distributed from 923 Generation And Fuel,1985,,IPCO,Idaho Power Co,42.59483,-114.435295,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
119,8134,ID,K W Company,55007,LS4,0,OP,HY,WAT,0.1,0.307,268.571,130.857,Distributed from 923 Generation And Fuel,1985,,IPCO,Idaho Power Co,42.59483,-114.435295,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
120,8135,ID,K W Company,55007,LS5,0,OP,HY,WAT,0.1,0.307,268.571,130.857,Distributed from 923 Generation And Fuel,1985,,IPCO,Idaho Power Co,42.59483,-114.435295,Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
