Name,Bus ID,Bus Name,Long Name,ServiceStatus,Commission Date,Retirement Date,DevStatus,Area Name,Region Name,State
DR_NEVP-8,1000,Bus1000,NEVP Demand Response (8of8),#FALSE#,#2023-04-15#,#2050-04-15#,Future-Conceptual,PNM,SW_PNM,NV
Sand Ridge,1000,Bus1000,NA,#FALSE#,#2016-12-01#,#2025-12-31#,Existing,PNM,SW_PNM,OR
SenecaSustainableEnergyProject,1000,Bus1000,SenecaSustainableEnergyProject,#FALSE#,#2011-04-01#,#2050-12-31#,Existing,PNM,SW_PNM,OR
San Juan GT1,1000,Bus1000,San Juan Gas Plant 1,#FALSE#,#2018-01-01#,#2050-12-31#,Pre-Const Reg Approval-Review,PNM,SW_PNM,NM
San Juan GT2,1000,Bus1000,San Juan Gas Plant 2,#FALSE#,#2018-01-01#,#2050-12-31#,Pre-Const Reg Approval-Review,PNM,SW_PNM,NM
Lightning Dock 1-4,1000,Bus1000,Lightning Dock Geothermal HI-01 PB01-PB04,#FALSE#,#2013-12-01#,#2050-12-31#,Existing,PNM,SW_PNM,NM
Los Alamos PV,1000,Bus1000,Los Alamos Smart Grid (East Jemez Road) 1,#FALSE#,#2012-09-01#,#2050-12-31#,Existing,PNM,SW_PNM,NM
Saguaro CC2,1000,Bus1000,Saguaro Power Company CC2 (Total CC Plant),#FALSE#,#2025-04-15#,#2050-12-31#,Future-Planned,PNM,SW_PNM,AZ
Cholla 1,1000,Bus1000,Cholla 1,#FALSE#,#1962-05-01#,#2050-12-31#,Existing,PNM,SW_PNM,AZ
Cholla 3,1000,Bus1000,Cholla 3,#FALSE#,#1980-05-01#,#2050-12-31#,Existing,PNM,SW_PNM,AZ
H Wilson Sundt 4 Coal,1000,Bus1000,H. Wilson Sundt Generating Station 4,#FALSE#,#1967-07-01#,#2030-01-01#,Existing,PNM,SW_PNM,AZ
Fort Huachuca 2,1000,Bus1000,Fort Huachuca Solar Project FHUA2,#FALSE#,#2017-01-01#,#2050-12-31#,Under Construction,PNM,SW_PNM,AZ
Mountain View PV,1000,Bus1000,Mountain View Solar Plant 1,#FALSE#,#2002-07-11#,#2030-12-31#,Future-Planned,PNM,SW_PNM,NV
Milagro Cogen A,1000,Bus1000,Milagro Cogen Plant GO1A,#FALSE#,#1996-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,NM
Milagro Cogen B,1000,Bus1000,Milagro Cogen Plant GO1B,#FALSE#,#1996-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,NM
Animas ST1-2,1000,Bus1000,ANIMAS_13.8_GEN_5,#FALSE#,#1955-02-01#,#2015-03-31#,Existing,PNM,SW_PNM,NM
Bluffview 2-3,1000,Bus1000,Bluffview 2-3 (Mothballed as of 2016),#FALSE#,#1950-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,NM
Bluffview 2-4,1000,Bus1000,Bluffview 2-4 (Mothballed as of 2016),#FALSE#,#1950-01-01#,#2050-12-31#,Existing,PNM,SW_PNM,NM
Broadview Wind,1000,Bus1000,RPS Compliant Wind,#FALSE#,#2017-01-01#,#2050-12-31#,Under Construction,PNM,SW_PNM,NM
Reid Gardner 4,1000,Bus1000,Reid Gardner-4,#FALSE#,#1983-07-01#,#2018-04-20#,Existing,PNM,SW_PNM,NV
VI-MBUS_189201_1A,1000,Bus1000,VI-MBUS WDAT1A,#FALSE#,#2016-03-16#,#2050-12-31#,Existing,PNM,SW_PNM,NV
VI-MBUS_189203_1B,1000,Bus1000,VI-MBUS WDAT1B,#FALSE#,#2016-03-16#,#2050-12-31#,Existing,PNM,SW_PNM,NV
15266_ADS30_Copper Crossing 6,1000,Bus1000,Copper Crossing Gen Station (Abel Peaking) CCGS1-5 6,#FALSE#,#2022-05-01#,#2050-12-31#,Future-Planned,PNM,SW_PNM,AZ
15267_ADS30_Copper Crossing 7,1000,Bus1000,Copper Crossing Gen Station (Abel Peaking) CCGS1-5 7,#FALSE#,#2023-05-01#,#2050-12-31#,Future-Planned,PNM,SW_PNM,AZ
15268_ADS30_Copper Crossing 8,1000,Bus1000,Copper Crossing Gen Station (Abel Peaking) CCGS1-5 8,#FALSE#,#2023-05-01#,#2050-12-31#,Future-Planned,PNM,SW_PNM,AZ
