num,num_1,Name,DOE,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Name_Description,netcap,typ,PLPRMFL,PLFUELCT,NAMEPCAP
113,85,New-Indy Ontario Mill,10427,,,,,,,,,,,,,,"New-Indy Ontario, LLC",33.6,ngct,NG,GAS,67
114,86,0,0,,,,,,,,,,,,,,New-Indy Oxnard LLC,27.8,ngct,,,
115,87,NTC/MCRD Energy Facility,10810,,,,,,,,,,,,,,NTC/MCRD COGENERATION,22.3,ngct,NG,GAS,25.6
116,88,OLS Energy Chino,50850,,,,,,,,,,,,,,O.L.S. ENERGY COMPANY- CHINO-MENS INST.,31.6,ngct,NG,GAS,30.8
117,89,Dynegy Oakland Power Plant,6211,,,,,,,,,,,,,,Oakland GT #1,55.0,oil,JF,OIL,223.5
118,90,Dynegy Oakland Power Plant,6211,,,,,,,,,,,,,,Oakland GT #2,55.0,oil,JF,OIL,223.5
119,91,Dynegy Oakland Power Plant,6211,,,,,,,,,,,,,,Oakland GT #3,55.0,oil,JF,OIL,223.5
120,92,0,0,,,,,,,,,,,,,,OILDALE ENERGY,40.0,ngct,,,
121,93,Oroville Cogeneration LP,54477,,,,,,,,,,,,,,OROVILLE COGEN,7.5,ngct,NG,GAS,7.7
122,94,PE Berkeley,50849,,,,,,,,,,,,,,"PE - BERKELEY, INC.",32.5,ngct,NG,GAS,28.5
123,95,Phillips 66 Rodeo Refinery,50119,,,,,,,,,,,,,,Phillips 66 - Rodeo Plant,57.3,ngct,OG,OFSL,54.9
124,96,SunEdison Procter & Gamble Oxnard,57008,,,,,,,,,,,,,,PROCTER & GAMBLE PAPER PROD. (OXNARD II),49.5,ngct,SUN,SOLAR,1
125,97,Red Bluff,56184,,,,,,,,,,,,,,RED BLUFF PEAKER PLANT,44.0,ngct,NG,GAS,46.4
126,98,0,0,,,,,,,,,,,,,,RHODIA INC. (RHONE-POULENC),4.6,ngct,,,
127,99,0,0,,,,,,,,,,,,,,RIO BRAVO JASMIN,38.0,coal,,,
128,100,Riverside Energy Resource Center,56143,,,,,,,,,,,,,,Riverside Energy Resource Center (RERC) Unit 3,49.0,ngct,NG,GAS,196
129,101,Riverside Energy Resource Center,56143,,,,,,,,,,,,,,Riverside Energy Resource Center (RERC) Unit 4,49.0,ngct,NG,GAS,196
130,102,Amazon San Bernardino,59800,,,,,,,,,,,,,,SAN BERNARDINO AREA LUMPED UNITS,10.6,ngcc,NG,GAS,1.1
131,103,Algonquin Power Sanger,57564,,,,,,,,,,,,,,"SANGER POWER, LLC",48.3,ngct,NG,GAS,74
132,104,Santa Clara Cogen,7232,,,,,,,,,,,,,,SANTA CLARA COGEN,7.0,ngct,NG,GAS,7.8
133,105,0,0,,,,,,,,,,,,,,"SEARLES VALLEY MINERALS OPERATIONS, INC. (ARGUS)",62.5,coal,,,
134,106,0,0,,,,,,,,,,,,,,SF State Fuel Cell Station,1.6,ngct,,,
135,107,South Belridge Cogeneration Facility,50752,,,,,,,,,,,,,,South Belridge Cogen Facility,55.2,ngct,NG,GAS,94.2
136,108,Springs Generating Station,56144,,,,,,,,,,,,,,Springs Generation Project,36.0,ngct,NG,GAS,40
