,ARIZONA PUBLIC SERVICE COMPANY,CALIFORNIA INDEPENDENT SYSTEM OPERATOR,IDAHO POWER COMPANY,NEVADA POWER COMPANY,PACIFICORP - EAST,PACIFICORP - WEST,PORTLAND GENERAL ELECTRIC COMPANY,PUGET SOUND ENERGY,"CITY OF TACOMA, DEPARTMENT OF PUBLIC UTILITIES, LIGHT DIVISION",IMPERIAL IRRIGATION DISTRICT,PUD NO. 1 OF DOUGLAS COUNTY,PUBLIC SERVICE COMPANY OF COLORADO,BONNEVILLE POWER ADMINISTRATION,NORTHWESTERN ENERGY (NWMT),SALT RIVER PROJECT,LOS ANGELES DEPARTMENT OF WATER AND POWER,PUBLIC UTILITY DISTRICT NO. 1 OF CHELAN COUNTY,EL PASO ELECTRIC COMPANY,BALANCING AUTHORITY OF NORTHERN CALIFORNIA,PUBLIC SERVICE COMPANY OF NEW MEXICO,AVISTA CORPORATION,WESTERN AREA POWER ADMINISTRATION - DESERT SOUTHWEST REGION,TURLOCK IRRIGATION DISTRICT,WESTERN AREA POWER ADMINISTRATION UGP WEST,TUCSON ELECTRIC POWER COMPANY,SEATTLE CITY LIGHT,"PUBLIC UTILITY DISTRICT NO. 2 OF GRANT COUNTY, WASHINGTON",WESTERN AREA POWER ADMINISTRATION - ROCKY MOUNTAIN REGION
2020-05-09,1.7760000000000002,3.020408163265307,1.645,1.7249999999999999,1.66,1.665,1.6366666666666667,1.7988888888888885,1.7760490828021953,1.9497532765291545,1.7886389405172958,1.8209181689645186,1.7592203815481913,1.806165137551374,1.8186991011559746,2.2758038702021888,1.7876191920787297,1.8657523647266725,1.9217425283249057,1.8533669223834783,1.7836269753671359,1.9165046346617738,2.2436548070683204,1.8148678376915643,1.8923161036948355,1.7888893379811703,1.780603717631159,1.8167415358022718
2020-05-10,1.7760000000000002,3.020408163265307,1.645,1.7249999999999999,1.66,1.665,1.6366666666666667,1.7988888888888885,1.7760490828021953,1.9497532765291545,1.7886389405172958,1.8209181689645186,1.7592203815481913,1.806165137551374,1.8186991011559746,2.2758038702021888,1.7876191920787297,1.8657523647266725,1.9217425283249057,1.8533669223834783,1.7836269753671359,1.9165046346617738,2.2436548070683204,1.8148678376915643,1.8923161036948355,1.7888893379811703,1.780603717631159,1.8167415358022718
2020-05-11,1.7739583333333329,3.0236394557823125,1.6445833333333333,1.726875,1.6620833333333334,1.6641666666666668,1.636388888888889,1.796898148148148,1.775174923576424,1.9500083305666596,1.7879939436264822,1.8215107579074943,1.7590944782815916,1.8063398082334774,1.81743295893974,2.277282573523918,1.7866511424871172,1.865962712073589,1.9221712550371697,1.8535946094148024,1.7834188340268065,1.9169464857391627,2.2450183424970884,1.8150968730713175,1.8922467420569853,1.787590169995019,1.7800754288180993,1.8172943573098002
2020-05-12,1.7271666666666667,3.0937414965986396,1.6322916666666667,1.7665624999999996,1.7056944444444442,1.642291666666667,1.6280555555555558,1.749074074074074,1.75276294966353,1.9535374811606174,1.770731966337083,1.8322363622384477,1.7535215207502195,1.807595858818267,1.7876103635310547,2.3080353253182966,1.7620653036403902,1.8683199751911437,1.9291872971570143,1.8563661583908273,1.7760287984368803,1.9245759260524877,2.273127210085542,1.8175956762193195,1.8886507853262207,1.7554946041095976,1.7654662582880585,1.8270869633710616
2020-05-13,1.7258749999999998,2.990586734693878,1.5664583333333333,1.6840625,1.6025,1.5768749999999998,1.5809722222222222,1.6994444444444445,1.6966703811729724,1.8954176528046862,1.711684188150826,1.761437529800168,1.6884559721627246,1.7403998197852149,1.766647990113531,2.2283882725176225,1.7055963439330948,1.807161352094662,1.8599372708446569,1.7955138745568464,1.7127313715637136,1.862054459146903,2.1937343966189116,1.750175965012262,1.8382098822097035,1.701588877717351,1.705678100648758,1.7559433586216862
2020-05-14,1.6069166666666668,2.8463690476190475,1.4833333333333334,1.6016666666666666,1.5045833333333336,1.5033333333333332,1.5227777777777778,1.6325462962962964,1.6236989412749703,1.7927779648403244,1.6347748271078955,1.6669620285409372,1.6058578220846094,1.6532490277412493,1.6540495075271886,2.1170949464186153,1.6316448427622796,1.7105670715004455,1.7694981131810583,1.6978319356018,1.6312485631093825,1.7618103854843445,2.0856369177954273,1.6619198399055293,1.734369125676586,1.6304266519065316,1.6284179469117932,1.6632073644801013
2020-05-15,1.5812500000000003,2.785170068027212,1.4464583333333332,1.5266666666666666,1.45875,1.4664583333333332,1.435138888888889,1.565185185185185,1.559198536151512,1.7433828501307809,1.5739727026749974,1.6159606962585142,1.5541394857900568,1.5995076286662244,1.620320019091491,2.059822122912875,1.5686742741943025,1.660218643305305,1.7133660230950516,1.6486179029004933,1.5750905629368408,1.710823227535069,2.027947773810051,1.608171765301453,1.688499112763803,1.5653424830281748,1.5681898277775865,1.6114112831120777
2020-05-16,1.564,2.866530612244898,1.4799999999999998,1.565,1.5066666666666666,1.5,1.4766666666666666,1.6077777777777778,1.5998781790249001,1.773976094420447,1.6140220720511744,1.6529293659492355,1.5919093618936195,1.6379878893410251,1.6192730004155735,2.1119842632405965,1.609378637464294,1.692417829587954,1.7555027490033104,1.679496705811349,1.6139601458353607,1.743427995357426,2.080399698187659,1.646521462165364,1.7116160533714055,1.6067304903515514,1.6079367994488605,1.6493707682693968
2020-05-17,1.564,2.866530612244898,1.4799999999999998,1.565,1.5066666666666666,1.5,1.4766666666666666,1.6077777777777778,1.5998781790249001,1.773976094420447,1.6140220720511744,1.6529293659492355,1.5919093618936195,1.6379878893410251,1.6192730004155735,2.1119842632405965,1.609378637464294,1.692417829587954,1.7555027490033104,1.679496705811349,1.6139601458353607,1.743427995357426,2.080399698187659,1.646521462165364,1.7116160533714055,1.6067304903515514,1.6079367994488605,1.6493707682693968
2020-05-18,1.5677083333333335,2.87392006802721,1.482708333333333,1.5698958333333333,1.5126388888888886,1.5025,1.478472222222222,1.6077777777777778,1.6015314213809533,1.7782559826853677,1.616104369711409,1.6571881093863308,1.5948895210730627,1.6414424294097614,1.623148713133571,2.1172337094413116,1.610943889835714,1.6964218494205483,1.75925413299093,1.683605034299909,1.6167658677678318,1.7477754572855921,2.085417103531987,1.6500823601473553,1.7158049251701257,1.6077706298544636,1.6101908620838659,1.6534904186706578
