EIA_ID,plant,state,bal_auth,Latitude,Longitude,bus
50322,Madera Canal (Site 980 65),CA,CISO,37.056803,-119.899706,23495
50360,Michell Butte Power Project,OR,IPCO,43.771896,-117.155023,74329
50380,Upriver Dam Hydro Plant,WA,AVA,47.6822,-117.3319,10872
50755,New Hogan,CA,CISO,38.149582,-120.814942,23278
50827,Twin Falls Hydro,WA,PSEI,47.444554,-121.687812,10802
50895,Bypass,ID,IPCO,42.560876,-114.057461,74324
50896,S E Hazelton A,ID,IPCO,42.586701,-114.067537,74324
50980,Central Oregon Siphon,OR,PACW,44.033022,-121.3297,13528
54249,Smith Creek,ID,BPAT,48.573403,-116.332682,74266
54267,Koma Kulshan,WA,PSEI,48.680178,-121.723294,11037
54306,Wilson Lake Hydroelectric Project,ID,IPCO,42.628889,-114.174722,74322
54514,Blind Canyon Hydro,ID,IPCO,42.69984,-114.822603,74333
54524,Horseshoe Bend Hydro Partners,ID,IPCO,43.904085,-116.244193,74220
54554,Spicer Meadow Project,CA,CISO,38.3914,-120.0008,23272
54555,Collierville Powerhouse,CA,CISO,38.144636,-120.380497,23423
54558,Hazelton B Hydro,ID,IPCO,42.6051,-114.093,74324
54721,Reregulating,OR,PACW,44.724242,-121.247729,13663
56498,Mora Drop Hydroelectric Project,ID,IPCO,43.460012,-116.47254,74228
56499,Tiber,MT,WAUW,48.318,-111.1018,77294
56694,Russell D Smith,WA,BPAT,46.7392,-119.1122,10811
56695,Summer Falls Power Plant,WA,AVA,47.5025,-119.2917,10902
56696,Eltopia Branch Canal 4.6,WA,BPAT,46.378381,-119.254522,10811
56697,Potholes East Canal 66.0,WA,BPAT,46.378469,-119.254443,10811
56698,Dry Falls Dam (Main Canal Headworks),WA,AVA,47.6164,-119.2992,11047
57496,Tieton,WA,PACW,46.658,-121.1287,10966
840,Dworshak,ID,BPAT,46.5143,-116.2977,74276
851,Albeni Falls,ID,BPAT,48.180245,-116.99859,74301
2203,Hungry Horse,MT,BPAT,48.341521,-114.01443,77223
3074,Big Cliff,OR,BPAT,44.7514,-122.2832,13488
3075,Bonneville,OR,BPAT,45.6441,-121.941009,13669
3076,Cougar,OR,BPAT,44.1307,-122.2439,13533
3077,Detroit,OR,BPAT,44.7224,-122.2511,13488
3078,Dexter,OR,BPAT,43.9242,-122.8055,13583
3080,Green Peter,OR,BPAT,44.4494,-122.5494,13650
3081,Hills Creek,OR,BPAT,43.7107,-122.4238,13513
3082,John Day,OR,BPAT,45.71644,-120.69408,13499
3083,Lookout Point,OR,BPAT,43.9153,-122.7531,13583
3084,McNary,OR,BPAT,45.9402,-119.2988,13475
3883,Rocky Reach,WA,CHPD,47.533611,-120.295278,10710
3886,Wells,WA,DOPD,47.9469,-119.8653,11077
3887,Priest Rapids,WA,BPAT,46.6451,-119.908,10683
3888,Wanapum,WA,GCPD,46.8731,-119.9703,10908
3895,The Dalles,OR,BPAT,45.614,-121.1346,13625
3921,Chief Joseph,WA,BPAT,47.9951,-119.6404,10750
3925,Ice Harbor,WA,BPAT,46.249801,-118.879838,10847
3926,Little Goose,WA,BPAT,46.5838,-118.0273,10879
3927,Lower Monumental,WA,BPAT,46.5635,-118.5397,10944
6163,Grand Coulee,WA,BPAT,47.957511,-118.977323,11014
6174,Lost Creek,OR,PACW,42.6717,-122.6772,13655
6175,Lower Granite,WA,BPAT,46.659503,-117.429385,10829
6200,Rock Island,WA,CHPD,47.346111,-120.0917,10722
6552,Foster,OR,BPAT,44.4146,-122.6712,13653
