PLANT,unitid,CO2rate,NOXrate,SO2rate,yr,Fuel,INTER,maxgload,maxramp,minramp,state,facilityname,fipscode
55345,CTG-2,0.96100014,0.18103108,0.0048514903,2019,Gas,West,302.0,92.0,-88.0,CA,"Otay Mesa Energy Center, LLC",73
55393,1,0.88870513,0.08337718,0.004487093,2019,Gas,West,292.0,123.0,-154.0,CA,Metcalf Energy Center,85
55393,2,0.89004636,0.093041755,0.0044936957,2019,Gas,West,295.0,128.0,-179.0,CA,Metcalf Energy Center,85
55499,GT-1,0.8645261,0.10285444,0.0044572214,2019,Gas,West,50.0,21.0,-43.0,CA,CalPeak Power - Vaca Dixon,95
55499,GT-2,,,,2019,Other,West,,,,CA,CalPeak Power - Vaca Dixon,95
55508,GT-1,0.8803179,0.0817647,0.0044993823,2019,Gas,West,50.0,32.0,-43.0,CA,CalPeak Power - Panoche,19
55508,GT-2,,,,2019,Other,West,,,,CA,CalPeak Power - Panoche,19
55510,GT-1,0.86349654,0.12837602,0.0044107004,2019,Gas,West,50.0,43.0,-43.0,CA,CalPeak Power - Border,73
55510,GT-2,,,,2019,Other,West,,,,CA,CalPeak Power - Border,73
55512,GT-1,1.0280461,0.11971293,0.0052694753,2019,Gas,West,47.0,41.0,-40.0,CA,Cuyamaca Peak Energy,73
55512,GT-2,,,,2019,Other,West,,,,CA,Cuyamaca Peak Energy,73
55513,GT-1,0.8297272,0.11814211,0.0042524613,2019,Gas,West,49.0,44.0,-43.0,CA,CalPeak Power - Enterprise,73
55513,GT-2,,,,2019,Other,West,,,,CA,CalPeak Power - Enterprise,73
55518,CTG1,0.8617045,0.07994945,0.004350285,2019,Gas,West,259.0,81.0,-102.0,CA,High Desert Power Project,71
55518,CTG2,0.8800322,0.09008284,0.004442953,2019,Gas,West,260.0,81.0,-97.0,CA,High Desert Power Project,71
55518,CTG3,0.9123114,0.120280266,0.0046053426,2019,Gas,West,259.0,81.0,-91.0,CA,High Desert Power Project,71
55538,CT1A,,,,2019,Gas,West,18.0,9.0,-10.0,CA,"Escondido Energy Center, LLC",73
55538,CT1B,,,,2019,Gas,West,18.0,9.0,-10.0,CA,"Escondido Energy Center, LLC",73
55538,CTG1,0.8829455,0.11411254,0.0044577867,2019,Gas,West,49.0,38.0,-38.0,CA,"Escondido Energy Center, LLC",73
55540,1A,1.6625961,0.20759796,0.008401265,2019,Gas,West,18.0,11.0,-15.0,CA,Chula Vista Energy Center,73
55540,1B,1.6646485,0.20735516,0.008405642,2019,Gas,West,19.0,11.0,-15.0,CA,Chula Vista Energy Center,73
55541,1,0.80634236,0.17594947,0.00407121,2019,Gas,West,46.0,36.0,-37.0,CA,Indigo Generation Facility,65
55541,2,0.8142314,0.18786652,0.0041091153,2019,Gas,West,46.0,38.0,-35.0,CA,Indigo Generation Facility,65
55541,3,0.8011499,0.18091998,0.0040443344,2019,Gas,West,46.0,37.0,-37.0,CA,Indigo Generation Facility,65
55542,1,0.8814033,0.2206954,0.0044504674,2019,Gas,West,46.0,37.0,-39.0,CA,Larkspur Energy Faciity,73
55542,2,0.8099931,0.2173204,0.0040893643,2019,Gas,West,47.0,36.0,-40.0,CA,Larkspur Energy Faciity,73
55625,UNIT1,1.0009304,0.20335068,0.0050532464,2019,Gas,West,50.0,32.0,-33.0,CA,Creed Energy Center,95
55626,UNIT1,1.0518414,0.26900503,0.0053139003,2019,Gas,West,50.0,31.0,-33.0,CA,Lambie Energy Center,95
55627,UNIT1,1.0042971,0.26949546,0.0050688954,2019,Gas,West,49.0,31.0,-38.0,CA,Goose Haven Energy Center,95
55656,CT001,0.8944987,0.07665922,0.0045158416,2019,Gas,West,276.0,98.0,-79.0,CA,Pastoria Energy Facility,29
55656,CT002,0.84400195,0.07407027,0.004260824,2019,Gas,West,274.0,119.0,-85.0,CA,Pastoria Energy Facility,29
55656,CT004,0.8888789,0.08142859,0.0044872174,2019,Gas,West,264.0,109.0,-92.0,CA,Pastoria Energy Facility,29
55698,HEP1,1.0139984,0.18782908,0.0051186974,2019,Gas,West,48.0,30.0,-29.0,CA,Hanford Energy Park Peaker,31
55698,HEP2,1.0051486,0.2677205,0.0050742268,2019,Gas,West,48.0,30.0,-29.0,CA,Hanford Energy Park Peaker,31
55748,CTG1,0.92269564,0.08244805,0.004658427,2019,Gas,West,80.0,31.0,-43.0,CA,Los Esteros Critical Energy Facility,85
55748,CTG2,0.8601491,0.0560445,0.004342892,2019,Gas,West,78.0,28.0,-36.0,CA,Los Esteros Critical Energy Facility,85
55748,CTG3,0.9387159,0.07543469,0.0047396985,2019,Gas,West,83.0,30.0,-44.0,CA,Los Esteros Critical Energy Facility,85
55748,CTG4,0.9254194,0.04978947,0.00467266,2019,Gas,West,78.0,31.0,-43.0,CA,Los Esteros Critical Energy Facility,85
55807,HPP1,0.949768,0.15777273,0.0047953553,2019,Gas,West,49.0,31.0,-34.0,CA,Henrietta Peaker Plant,31
55807,HPP2,0.94352204,0.15666197,0.004765632,2019,Gas,West,49.0,32.0,-35.0,CA,Henrietta Peaker Plant,31
55810,S-3,1.0909685,0.35045138,0.0055089644,2019,Gas,West,48.0,32.0,-30.0,CA,"Gilroy Energy Center, LLC",85
55810,S-4,1.0091122,0.30196396,0.005100696,2019,Gas,West,49.0,35.0,-31.0,CA,"Gilroy Energy Center, LLC",85
55810,S-5,1.0169479,0.42597616,0.0051279124,2019,Gas,West,49.0,37.0,-35.0,CA,"Gilroy Energy Center, LLC",85
55847,UNIT1,1.0589151,2.161508,0.005348824,2019,Gas,West,49.0,31.0,-33.0,CA,Feather River Energy Center,101
55853,1,1.066023,0.29368722,0.0053813253,2019,Gas,West,377.0,143.0,-141.0,CA,Inland Empire Energy Center,65
55853,2,,,,2019,Gas,West,376.0,127.0,-130.0,CA,Inland Empire Energy Center,65
55855,UNIT1,1.0224744,0.28513837,0.005157729,2019,Gas,West,49.0,32.0,-33.0,CA,Wolfskill Energy Center,95
55875,GT1,,,,2019,Gas,West,51.0,32.0,-31.0,CA,"Wellhead Power Gates, LLC",19
55933,TPP1,0.9507366,0.18194959,0.0047997707,2019,Gas,West,161.0,71.0,-70.0,CA,Tracy Combined Cycle Power Plant,77
55933,TPP2,0.9291336,0.12475763,0.0046908977,2019,Gas,West,160.0,70.0,-66.0,CA,Tracy Combined Cycle Power Plant,77
55951,AMP-1,1.108014,0.2017317,0.0055848826,2019,Gas,West,45.0,33.0,-38.0,CA,Agua Mansa Power,71
55963,1,1.0100452,0.24754776,0.005096367,2019,Gas,West,49.0,32.0,-33.0,CA,Riverview Energy Center,13
55970,2,0.87657464,0.10744406,0.004433603,2019,Gas,West,299.0,47.0,-45.0,CA,Cosumnes Power Plant,67
55970,3,0.8530216,0.059872203,0.0043179807,2019,Gas,West,300.0,46.0,-45.0,CA,Cosumnes Power Plant,67
55985,CTG1,0.896473,0.14122391,0.0045261392,2019,Gas,West,278.0,106.0,-109.0,CA,Palomar Energy Center,73
55985,CTG2,0.8932242,0.14441039,0.0045091733,2019,Gas,West,278.0,114.0,-109.0,CA,Palomar Energy Center,73
56026,PCT1,0.92232007,0.081019424,0.0046566413,2019,Gas,West,73.0,19.0,-13.0,CA,Donald Von Raesfeld,85
56026,PCT2,0.91596186,0.0754005,0.0046243994,2019,Gas,West,73.0,20.0,-14.0,CA,Donald Von Raesfeld,85
56041,M1,0.9566193,0.06607659,0.0048301243,2019,Gas,West,66.0,17.0,-16.0,CA,Malburg Generating Station,37
56041,M2,0.9514154,0.073469914,0.0048042038,2019,Gas,West,66.0,17.0,-16.0,CA,Malburg Generating Station,37
56046,1,0.8467516,0.041863214,0.0043580416,2019,Gas,West,246.0,33.0,-32.0,CA,Magnolia,37
56078,1,0.9615163,0.06699559,0.0048545273,2019,Gas,West,124.0,17.0,-17.0,CA,Walnut Energy Center,99
56078,2,0.9752776,0.07361193,0.0049239593,2019,Gas,West,124.0,17.0,-16.0,CA,Walnut Energy Center,99
56135,1,1.1780504,0.1282726,0.00594925,2019,Gas,West,51.0,29.0,-25.0,CA,Ripon Generation Station,99
56135,2,1.0627104,0.14634469,0.005364143,2019,Gas,West,51.0,27.0,-26.0,CA,Ripon Generation Station,99
56143,1,0.9047956,0.08903039,0.004570751,2019,Gas,West,50.0,47.0,-43.0,CA,Riverside Energy Resource Center,65
56143,2,0.9160322,0.09695198,0.004628409,2019,Gas,West,51.0,48.0,-44.0,CA,Riverside Energy Resource Center,65
56143,3,0.86062896,0.08889541,0.0043461127,2019,Gas,West,51.0,48.0,-45.0,CA,Riverside Energy Resource Center,65
56143,4,0.86832005,0.084107876,0.004383915,2019,Gas,West,51.0,48.0,-46.0,CA,Riverside Energy Resource Center,65
56232,1,0.9349355,0.15821485,0.004719784,2019,Gas,West,50.0,41.0,-30.0,CA,Miramar Energy Facility,73
56232,2,0.9335717,0.16267236,0.0047143996,2019,Gas,West,49.0,44.0,-42.0,CA,Miramar Energy Facility,73
56239,GT-1,0.94624394,0.19314225,0.004772513,2019,Gas,West,50.0,44.0,-42.0,CA,Malaga Power,19
56239,GT-2,0.9172019,0.1743366,0.004630466,2019,Gas,West,49.0,43.0,-42.0,CA,Malaga Power,19
56298,CT001,0.92771065,0.05564902,0.004683931,2019,Gas,West,78.0,17.0,-16.0,CA,Roseville Energy Park,61
56298,CT002,0.9662008,0.06625026,0.0048785233,2019,Gas,West,78.0,17.0,-16.0,CA,Roseville Energy Park,61
