,Generator,Time,Value
567,CENTRALE-2,40,17.817500000000003
568,CENTRALE-2,41,18.0
569,CENTRALE-2,42,0.0
570,CENTRALE-2,43,18.0
571,CENTRALE-2,44,4.375000000000005
572,CENTRALE-2,45,18.0
573,CENTRALE-2,46,18.0
574,CENTRALE-2,47,0.0
575,CENTRALE-2,48,18.0
576,CENTRALE-2_CUPL,25,0.0
577,CENTRALE-2_CUPL,26,0.0
578,CENTRALE-2_CUPL,27,0.0
579,CENTRALE-2_CUPL,28,0.0
580,CENTRALE-2_CUPL,29,0.0
581,CENTRALE-2_CUPL,30,0.0
582,CENTRALE-2_CUPL,31,0.0
583,CENTRALE-2_CUPL,32,0.0
584,CENTRALE-2_CUPL,33,0.0
585,CENTRALE-2_CUPL,34,0.0
586,CENTRALE-2_CUPL,35,0.0
587,CENTRALE-2_CUPL,36,0.0
588,CENTRALE-2_CUPL,37,0.0
589,CENTRALE-2_CUPL,38,0.0
590,CENTRALE-2_CUPL,39,0.0
591,CENTRALE-2_CUPL,40,0.0
592,CENTRALE-2_CUPL,41,0.0
593,CENTRALE-2_CUPL,42,0.0
594,CENTRALE-2_CUPL,43,0.0
595,CENTRALE-2_CUPL,44,0.0
596,CENTRALE-2_CUPL,45,0.0
597,CENTRALE-2_CUPL,46,0.0
598,CENTRALE-2_CUPL,47,37.1
599,CENTRALE-2_CUPL,48,3.8125
600,SLACK1,25,0.0
601,SLACK1,26,0.0
602,SLACK1,27,0.0
603,SLACK1,28,0.0
604,SLACK1,29,0.0
605,SLACK1,30,0.0
606,SLACK1,31,0.0
607,SLACK1,32,0.0
608,SLACK1,33,0.0
609,SLACK1,34,0.0
610,SLACK1,35,0.0
611,SLACK1,36,0.0
612,SLACK1,37,0.0
613,SLACK1,38,0.0
614,SLACK1,39,0.0
615,SLACK1,40,0.0
616,SLACK1,41,0.0
617,SLACK1,42,0.0
618,SLACK1,43,0.0
619,SLACK1,44,0.0
620,SLACK1,45,0.0
621,SLACK1,46,0.0
622,SLACK1,47,0.0
623,SLACK1,48,0.0
624,KHAN_MEAN_CHAY,25,0.0
625,KHAN_MEAN_CHAY,26,0.0
626,KHAN_MEAN_CHAY,27,0.0
627,KHAN_MEAN_CHAY,28,0.0
628,KHAN_MEAN_CHAY,29,0.0
629,KHAN_MEAN_CHAY,30,0.0
630,KHAN_MEAN_CHAY,31,0.0
631,KHAN_MEAN_CHAY,32,0.0
632,KHAN_MEAN_CHAY,33,0.0
633,KHAN_MEAN_CHAY,34,0.0
634,KHAN_MEAN_CHAY,35,48.12
635,KHAN_MEAN_CHAY,36,0.0
636,KHAN_MEAN_CHAY,37,0.0
637,KHAN_MEAN_CHAY,38,0.0
638,KHAN_MEAN_CHAY,39,0.0
639,KHAN_MEAN_CHAY,40,0.0
640,KHAN_MEAN_CHAY,41,48.12
641,KHAN_MEAN_CHAY,42,0.0
642,KHAN_MEAN_CHAY,43,48.12
643,KHAN_MEAN_CHAY,44,0.0
644,KHAN_MEAN_CHAY,45,0.0
645,KHAN_MEAN_CHAY,46,0.0
646,KHAN_MEAN_CHAY,47,0.0
647,KHAN_MEAN_CHAY,48,0.0
648,CENTRALE-3,25,0.0
649,CENTRALE-3,26,0.0
650,CENTRALE-3,27,0.0
651,CENTRALE-3,28,0.0
652,CENTRALE-3,29,0.0
653,CENTRALE-3,30,0.0
654,CENTRALE-3,31,0.0
655,CENTRALE-3,32,0.0
656,CENTRALE-3,33,15.4
657,CENTRALE-3,34,15.4
658,CENTRALE-3,35,0.0
659,CENTRALE-3,36,15.4
660,CENTRALE-3,37,15.4
661,CENTRALE-3,38,15.4
662,CENTRALE-3,39,15.4
663,CENTRALE-3,40,0.0
664,CENTRALE-3,41,0.0
665,CENTRALE-3,42,0.0
666,CENTRALE-3,43,0.0
667,CENTRALE-3,44,15.4
668,CENTRALE-3,45,6.007499999999993
669,CENTRALE-3,46,0.0
670,CENTRALE-3,47,0.0
671,CENTRALE-3,48,0.0
672,CENTRALE-5,25,0.0
673,CENTRALE-5,26,0.0
674,CENTRALE-5,27,0.0
675,CENTRALE-5,28,0.0
676,CENTRALE-5,29,0.0
677,CENTRALE-5,30,0.0
678,CENTRALE-5,31,0.0
679,CENTRALE-5,32,0.0
680,CENTRALE-5,33,10.0
681,CENTRALE-5,34,10.0
682,CENTRALE-5,35,0.0
683,CENTRALE-5,36,7.022499999999987
684,CENTRALE-5,37,10.0
685,CENTRALE-5,38,10.0
686,CENTRALE-5,39,10.0
687,CENTRALE-5,40,0.0
688,CENTRALE-5,41,0.0
689,CENTRALE-5,42,0.0
690,CENTRALE-5,43,0.0
691,CENTRALE-5,44,0.0
692,CENTRALE-5,45,0.0
