IMPERIAL_20_solar,H_ALLEN_20_solar,PALOVRD2_20_solar,EMERY_20_solar
177,1100,2867,404.1
183,1100,2703.8,262.8
41.5,111,237.7,28.8
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,376.5,0
87.1,1100,787.1,405.9
117.4,1100,1173.6,410.4
112.3,942.1,1362.4,312.6
145.5,452.5,1420.9,232.6
144.1,269.7,647.4,277.2
142.1,243,176.3,403.2
129.5,397.5,204.7,447.6
27.9,165.2,0,15.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
4.9,192.4,0,0
177,390.1,285,200.4
158.2,1099.7,389.3,253.3
139.5,1032.7,504.2,275.6
128.1,985.1,194.6,248.9
128.3,455.9,184.8,368.1
123.8,197.2,122.4,402.1
107.8,319.3,284.5,566
27.2,206.9,152.3,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
13.6,0,751.3,93.9
183,803.4,2592.7,199.4
183,1100,2898.3,407.9
183,1100,2456,189.1
177.1,962.4,2261,191.1
164,888.3,2239.7,197.2
177.4,1030.7,2369.8,405
183,1074.5,2336.8,373
58.7,344.6,711,22.6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1582.3,94.9
176.3,1100,2524.7,94.9
183,1100,2427.1,408
183,1100,2044.8,333.4
180,1028.4,2002.7,335
171.5,893.5,1709.6,382.4
173.1,1081.8,1950.2,399.9
183,1097.8,1936.6,222
56.6,344.9,683,0
0,0,40.6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,81.2,0
0,89.4,1378.6,96.1
104.7,273.9,1746.3,95.9
139,437.8,2300.6,305.4
116.1,190.5,2528.6,269.1
78.6,69.2,2289,231
32.3,148.6,2002.7,282
23.6,148.1,1998.1,385.5
19.2,174.5,1929.7,213.1
7.6,0,732.7,99.3
0,0,22,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7,81.3,1674.8,92.9
38.9,703,2738.8,303.9
101.6,800.7,2465.7,306.6
83.6,646.6,2022.6,256.3
43.8,386.9,1232.6,252.4
36.2,239.3,1147.1,286
22.2,151.4,1896.2,290
22.4,262.2,2850.4,125.5
4.5,302.8,1527.9,0
0,46.9,91.9,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,96.5
7.7,0,0,99.1
7.8,0,0,89.2
7.8,0,0,0
7.9,0,0,0
7.7,0,0,0
7.6,0,0,0
15.8,0,0,0
8,0,83,0
0,0,22.6,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
24.6,0,0,0
86.8,598.2,478.6,99.1
108.4,807.7,622.9,0
104.2,650.7,974.1,0
79.6,458.9,1111.5,0
69.9,374.2,1222.4,201.2
89.7,384.7,1752.4,174.8
72.4,348.5,1903.6,47.3
25.3,117.7,1085.7,0
0.9,0,212.4,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7.7,0,2704.4,0
