MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro,SUMMIT_20_hydro,CANAD_G1_20_hydro,COULEE_20_hydro,DALLES21_20_hydro,HANFORD_20_hydro,JOHN_DAY_20_hydro,MALIN_20_hydro,NORTH_G3_20_hydro,WCASCADE_20_hydro
630.6,36.82954545,967.8546569,1858.386094,1663.326471,896.4,138,51,4660.540584,4794.983518,1905.718155,2264.202172,3194,459.8,2106.745603,271
496.8,26.02954545,766.2546569,1507.986094,1443.117314,739.2,138,51,5540.740584,3681.696287,1613.518155,2125.662855,3194,557.6,2468.545603,328
363,22,564.6546569,1157.586094,1737.1,582,138,51,6294.071831,4798,1321.318155,1556.862855,3194,489.4,2586.764366,271
268,22,501.0337185,807.1860941,2106.7,424.8,138,51,5413.871831,6094,1029.118155,1917.800513,3002.32786,391.6,2224.964366,214
268,22,702.6337185,1157.586094,2476.3,582,207,76.8,4533.671831,7390,736.9181548,2220.311591,2635.12786,293.8,1863.164366,157
298.7443611,22,904.2337185,1507.986094,2845.9,739.2,276,102.6,5413.871831,8686,584,2789.111591,2413.483626,196,2224.964366,115
432.5443611,32.8,1105.833718,1858.386094,3215.5,896.4,345,128.4,6294.071831,9982,876.2,3357.911591,2780.683626,293.8,2586.764366,172
566.3443611,43.6,1307.433718,2208.786094,2987.104777,1053.6,414,154.2,7174.271831,11278,1168.4,3926.711591,3034.070578,391.6,2948.564366,229
700.1443611,54.4,1509.033718,2559.186094,2617.504777,1210.8,483,180,7655,10924.54517,1460.6,4495.511591,3194,489.4,3145,286
833.9443611,65.2,1710.633718,2909.586094,2474.69095,1368,552,196.4870627,7655,11278,1620.075499,3926.711591,3194,391.6,3145,229
833.1927316,54.4,1753.9,3049.4,2110.775328,1368,599,170.6870627,7655,11278,1912.275499,3642.324999,3194,489.4,3145,270.3785714
699.3927316,43.6,1753.9,3049.4,2054.330334,1368,599,144.8870627,7655,10929.5118,1620.075499,3318.736992,3194,391.6,3145,213.3785714
565.5927316,32.8,1753.9,3049.4,1957.396843,1368,583.8125,119.0870627,7655,9947.764349,1581.645907,3887.536992,3194,293.8,3145,156.3785714
630.6,43.6,1753.9,3049.4,1877.287266,1368,514.8125,93.28706265,7655,8651.764349,1873.845907,4135.781976,3194,384.9030273,3145,213.3785714
764.4,54.4,1753.9,3033.448609,2134.196457,1237.868893,445.8125,67.48706265,7655,7661.24903,2166.045907,3566.981976,3194,482.7030273,3145,270.3785714
898.2,65.2,1753.9,2683.048609,2503.796457,1080.668893,376.8125,82.24753103,7418.484843,8686,2458.245907,3213.985839,3194,580.5030273,3145,327.3785714
1032,76,1753.9,2699,2873.396457,1210.8,345,108.047531,7163.045903,9982,2539,3782.785839,3194,678.3030273,3145,384.3785714
1165.8,86.8,1753.9,3049.4,3215.5,1368,414,133.847531,7655,11278,2539,4351.585839,3194,580.5030273,3145,441.3785714
1165.8,88.64015152,1753.9,2699,3215.5,1210.8,345,159.647531,7655,11278,2384.313574,4103.414784,3194,482.7030273,3145,384.3785714
1032,77.84015152,1753.9,2801.648368,3215.5,1053.6,276,154.2,7655,9982,2092.113574,4605.686828,3194,384.9030273,3145,327.3785714
898.2,67.04015152,1753.9,2451.248368,3204.062533,1060.078053,345,128.4,7655,8686,2136.883008,4238.794999,3194,482.7030273,3145,384.3785714
764.4,56.24015152,1753.9,2100.848368,2834.462533,902.8780534,276,102.6,6774.8,7390,2314.956215,3669.994999,3194,580.5030273,3145,441.3785714
630.6,45.44015152,1552.3,1750.448368,2464.862533,745.6780534,207,76.8,5894.6,6094,2022.756215,3101.194999,2826.8,482.7030273,2783.2,384.3785714
496.8,34.64015152,1350.7,1400.048368,2095.262533,588.4780534,138,51,5014.4,4798,1730.556215,2532.394999,2694.598146,384.9030273,2421.4,327.3785714
363,23.84015152,1149.1,1049.648368,1938.844502,431.2780534,138,51,5183.824949,4214.910857,1460.6,1963.594999,2963.601114,460.9749467,2783.2,286
268,22,947.5,701,1849.82375,314,138,51,4443.742539,5510.910857,1168.4,1394.794999,2596.401114,363.1749467,2421.4,229
268,22,745.9,701,1813.514971,314,138,51,3928.838641,6806.910857,876.2,1139,2229.201114,265.3749467,2059.6,172
268,22,580.5393402,701,2103.324601,314,138,51,3468.228973,8102.910857,584,1139,1862.001114,196,1697.8,115
268,22,782.1393402,1051.4,2472.924601,471.2,138,76.8,4348.428973,7390,876.2,1265.653091,2229.201114,293.8,2059.6,172
268,32.8,983.7393402,1401.8,2842.524601,628.4,207,102.6,5228.628973,8686,584,1834.453091,2387.979494,196,2421.4,115
401.8,43.6,1185.33934,1752.2,3212.124601,785.6,276,128.4,6108.828973,9982,876.2,2403.253091,2755.179494,293.8,2783.2,172
535.6,54.4,1386.93934,2102.6,3215.5,942.8,345,154.2,6989.028973,11278,876.2,2972.053091,2790.426056,196,3145,115
669.4,65.2,1588.53934,2453,2845.9,785.6,414,180,7345.373509,11278,584,3540.853091,2485.013122,196,3145,127.80625
803.2,76,1753.9,2800.888038,2561.873808,942.8,345,205.8,7234.691544,11278,876.2,2972.053091,2852.213122,293.8,3145,184.80625
920.0370952,86.8,1753.9,3049.4,2424.3028,1100,414,200.8241071,7556.980215,11278,1014.556822,2403.253091,3194,196,3145,241.80625
1001.899917,85.2,1753.9,3049.4,2221.676528,1248.189554,483,175.0241071,7655,11278,1306.756822,1834.453091,2826.8,196,3145,298.80625
868.099917,74.4,1753.9,3049.4,2123.875625,1368,552,149.2241071,6774.8,10872.4644,1598.956822,1265.653091,3194,196,3145,355.80625
747.2602792,63.6,1753.9,3049.4,1951.157625,1368,571.25,123.4241071,6418.927898,10131.76531,1891.156822,1139,3194,293.8,3145,412.80625
613.4602792,52.8,1753.9,3049.4,2103.066187,1240.554751,502.25,97.62410714,6247.442004,8835.765314,2183.356822,1267.779896,3194,391.6,3145,469.80625
747.2602792,63.6,1753.9,3049.4,2472.666187,1083.354751,433.25,123.4241071,5894.6,8686,2399.565365,1836.579896,3194,489.4,2833.816521,412.80625
881.0602792,74.4,1745.53483,2699,2842.266187,926.1547506,364.25,149.2241071,6774.8,9982,2107.365365,2405.379896,3194,391.6,2783.2,355.80625
1014.860279,85.2,1753.9,3049.4,3211.866187,918.5785017,433.25,175.0241071,7655,11278,1815.165365,2974.179896,3038.914604,293.8,3145,298.80625
1148.660279,96,1753.9,2845.371336,3100.283441,761.3785017,364.25,200.8241071,7655,11278,1522.965365,3407.432227,2789.075424,196,3145,241.80625
1014.860279,94.1319697,1753.9,3049.4,2730.683441,604.1785017,295.25,175.0241071,7398.879187,11243.34101,1230.765365,3153.530293,2459.6,196,3145,184.80625
881.0602792,83.3319697,1641.182282,2961.673065,2361.083441,754.7144464,345,149.2241071,6518.679187,9947.341008,1522.965365,2784.650082,2826.8,278.0709967,3145,241.80625
747.2602792,72.5319697,1439.582282,2611.273065,1991.483441,789.5227297,276,123.4241071,5638.479187,8651.341008,1815.165365,2276.6,3194,375.8709967,2974.22076,298.80625
613.4602792,61.7319697,1237.982282,2260.873065,1621.883441,632.3227297,207,97.62410714,4758.279187,7355.341008,1522.965365,1707.8,2826.8,423.7295333,2612.42076,241.80625
479.6602792,50.9319697,1036.382282,1910.473065,1252.283441,475.1227297,138,71.82410714,3878.079187,6059.341008,1230.765365,1139,2538.793115,521.5295333,2250.62076,298.80625
345.8602792,40.1319697,834.7822821,1560.073065,962.088842,317.9227297,138,51,3541.236017,4763.341008,1133.962953,1139,2171.593115,619.3295333,1888.82076,355.80625
268,29.3319697,633.1822821,1209.673065,1057.217554,314,138,51,3334.305228,3467.341008,1426.162953,1145.091106,2524.766542,717.1295333,1527.02076,412.80625
268,22,431.5822821,859.2730645,1084.832143,314,138,51,3940.089686,2593,1615.055583,1713.891106,2157.566542,678.3492537,1585.136531,442
297.5913887,22,403.2,701,1327.997448,314,138,51,3292.877722,3223.172196,1322.855583,2282.691106,1790.366542,580.5492537,1223.336531,385
431.3913887,22,403.2,701,1697.597448,314,138,67.12222222,2968.707973,4519.172196,1030.655583,2851.491106,1423.166542,482.7492537,861.5365314,328
565.1913887,32.8,604.8,1051.4,2067.197448,471.2,207,92.92222222,3848.907973,5815.172196,1322.855583,3420.291106,1790.366542,534.4862115,1223.336531,385
698.9913887,43.6,806.4,1401.8,2436.797448,628.4,276,118.7222222,4729.107973,7111.172196,1615.055583,3989.091106,2157.566542,632.2862115,1585.136531,442
832.7913887,54.4,1008,1752.2,2806.397448,785.6,345,144.5222222,5609.307973,8407.172196,1907.255583,4557.891106,2524.766542,730.0862115,1946.936531,499
966.5913887,65.2,1209.6,2102.6,2529.518527,942.8,414,170.3222222,6478.384086,7111.172196,2045,4953,2157.566542,827.8862115,2308.736531,499
1100.391389,76,1175.933122,2453,2159.918527,1100,483,196.1222222,6726.963793,6937.672921,1752.8,4953,1790.366542,730.0862115,1946.936531,442
1165.8,70.57868687,974.3331219,2803.4,1790.318527,1257.2,552,170.3222222,5846.763793,8233.672921,1460.6,4953,1423.166542,632.2862115,1585.136531,385
1165.8,59.77868687,772.7331219,3049.4,1420.718527,1303.242715,587.25,144.5222222,4966.563793,9127.192112,1168.4,4791.880484,1055.966542,534.4862115,1223.336531,328
1165.8,70.57868687,571.1331219,2930.598333,1124.948329,1146.042715,518.25,118.7222222,5059.491214,10423.19211,876.2,4223.080484,734,436.6862115,861.5365314,271
