MESA_CAL_20_hydro,OWENS_G_20_hydro,MC_CALL_20_hydro,FULTON_20_hydro,TESLA_20_hydro,ROUND_MT_20_hydro,COTWDWAP_20_hydro,RNCHSECO_20_hydro
554.8537806,74.4,1351.32,20.34333333,2055.669242,1611.461825,1368,353.6666667
421.0537806,63.6,1149.72,17.34333333,1705.269242,1981.061825,1368,284.6666667
287.2537806,52.8,948.12,14.34333333,1354.869242,1656.384208,1210.8,215.6666667
268,42,746.52,11.34333333,1004.469242,1401.271364,1053.6,146.6666667
268,31.2,544.92,14.34333333,723.727406,1031.671364,896.4,138
268,22,403.2,13.7,791.4217467,739.2,739.2,138
268,22,403.2,10.7,992.9306222,739.2,582,138
268,22,439.7,8.5,1081.19352,800.6104889,424.8,138
268,22,448.3,11.5,1431.59352,1027.922056,314,138
268,22,491.4,14.5,1609.344275,1220.343169,394.2523257,138
268,32.8,647.4032412,17.5,1404.707273,1391.932621,551.4523257,207
268,43.6,849.0032412,20.5,1351.371602,1680.083795,708.6523257,276
268,54.4,1050.603241,20.1,1701.771602,1837.477259,865.8523257,345
